bs_ts,mmsi,callsign,imo,name,nav_status,lat,lon,cog,sog,destination,eta,shiptype,draught,length,width
2023-07-07 11:12:22,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,58.91823333,-142.25000000,286.9,20.2,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 11:17:48,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,58.92710500,-142.30606500,287.0,20.3,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 11:23:46,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,58.93692833,-142.36859500,286.9,20.3,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 11:28:46,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,58.94515333,-142.42058833,286.8,20.4,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 11:33:53,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,58.95333333,-142.47333333,287.0,20.0,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 11:39:55,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,58.96333333,-142.53666667,288.0,20.0,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 11:45:54,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,58.97333333,-142.59833333,288.0,20.0,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 11:52:10,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,58.98494500,-142.66365000,288.3,20.5,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 11:58:26,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,58.99590333,-142.72888833,288.1,20.5,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 12:03:54,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.00559667,-142.78674667,288.2,20.6,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 12:09:35,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.01570167,-142.84661500,288.0,20.5,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 12:15:52,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.02670333,-142.91241167,288.1,20.4,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 12:19:06,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.03166667,-142.94500000,288.0,21.0,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 12:20:42,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.03512833,-142.96266000,288.2,20.5,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 12:27:10,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.04646333,-143.03042667,287.8,20.4,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 12:33:22,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.05712000,-143.09543167,287.0,20.5,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 12:34:05,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.05833333,-143.10333333,287.0,21.0,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 12:39:25,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.06710000,-143.15892667,286.7,20.6,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 12:44:57,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.07622333,-143.21730833,286.9,20.6,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 12:51:47,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.08779333,-143.29078833,286.8,20.6,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 12:57:38,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.09744500,-143.35219167,287.2,20.5,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 13:03:46,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.10773667,-143.41801333,286.8,20.6,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 13:09:53,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.11795000,-143.48253000,287.1,20.5,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 13:15:43,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.12755000,-143.54407167,286.8,20.7,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 13:22:10,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.13833333,-143.61333333,287.0,21.0,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 13:25:33,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.14412667,-143.64897833,287.1,20.5,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 13:28:42,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.14914167,-143.68099500,286.8,19.2,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 13:29:43,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.15067833,-143.69071667,287.0,18.6,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 13:31:36,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.15351333,-143.70850000,287.3,18.0,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 13:37:15,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.16166667,-143.76000000,287.0,18.0,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 13:43:46,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.17150167,-143.82275167,287.7,18.5,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 13:49:07,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.17988833,-143.87315833,288.0,18.7,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 13:55:13,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.19000000,-143.93166667,288.0,19.0,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 14:01:17,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.20000000,-143.99000000,288.0,19.0,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 14:06:30,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.20773833,-144.03970833,287.7,18.7,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 14:12:18,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.21702833,-144.09564667,288.1,18.8,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 14:15:52,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.22324167,-144.13008833,293.4,18.8,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 14:16:15,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.22408000,-144.13362833,295.5,18.8,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 14:17:03,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.22604167,-144.14087500,299.0,18.9,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 14:18:15,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.22941500,-144.15122500,304.3,18.9,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 14:18:58,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.23164167,-144.15712833,307.3,18.9,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 14:19:34,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.23362000,-144.16186667,309.9,18.9,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 14:19:58,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.23502667,-144.16492000,312.1,18.9,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 14:20:27,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.23678500,-144.16850833,314.2,18.9,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
