bs_ts,mmsi,callsign,imo,name,nav_status,lat,lon,cog,sog,destination,eta,shiptype,draught,length,width
2023-09-10 23:52:08,245968000,PCHM,9156515,VOLENDAM,Under way using engine,58.29350000,-135.77554000,111.3,15.1,US JUN,2023-09-08 21:00:00,Passenger ship,8.1,237,32
2023-09-10 23:52:50,245968000,PCHM,9156515,VOLENDAM,Under way using engine,58.29238667,-135.77036167,113.6,15.1,US JUN,2023-09-08 21:00:00,Passenger ship,8.1,237,32
2023-09-10 23:53:56,245968000,PCHM,9156515,VOLENDAM,Under way using engine,58.29041500,-135.76246000,115.9,15.2,US JUN,2023-09-08 21:00:00,Passenger ship,8.1,237,32
2023-09-10 23:56:38,245968000,PCHM,9156515,VOLENDAM,Under way using engine,58.28518500,-135.74285500,118.0,15.5,US JUN,2023-09-08 21:00:00,Passenger ship,8.1,237,32
2023-09-10 23:59:57,245968000,PCHM,9156515,VOLENDAM,Under way using engine,58.27844167,-135.71874833,117.9,15.7,US JUN,2023-09-08 21:00:00,Passenger ship,8.1,237,32
2023-09-10 00:00:00,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.10025000,-146.58168333,255.7,14.4,US VDZ,2023-09-09 15:00:00,Passenger ship,6.8,228,34
2023-09-10 00:00:11,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.10006667,-146.58315000,255.0,14.4,US VDZ,2023-09-09 15:00:00,Passenger ship,6.8,228,34
2023-09-10 00:00:50,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.09933333,-146.58830000,251.9,14.5,US VDZ,2023-09-09 15:00:00,Passenger ship,6.8,228,34
2023-09-10 00:01:20,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.09866667,-146.59220000,249.5,14.4,US VDZ,2023-09-09 15:00:00,Passenger ship,6.8,228,34
2023-09-10 00:01:40,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.09816667,-146.59475000,247.4,14.4,US VDZ,2023-09-09 15:00:00,Passenger ship,6.8,228,34
2023-09-10 00:02:11,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.09736667,-146.59853333,245.1,14.4,US VDZ,2023-09-09 15:00:00,Passenger ship,6.8,228,34
2023-09-10 00:02:40,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.09648333,-146.60223333,242.6,14.4,US VDZ,2023-09-09 15:00:00,Passenger ship,6.8,228,34
2023-09-10 00:03:11,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.09551667,-146.60585000,240.3,14.4,US VDZ,2023-09-09 15:00:00,Passenger ship,6.8,228,34
2023-09-10 00:03:40,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.09448333,-146.60938333,238.0,14.4,US VDZ,2023-09-09 15:00:00,Passenger ship,6.8,228,34
2023-09-10 00:04:11,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.09338333,-146.61281667,235.0,14.4,GLACIER BAY,2023-09-11 14:30:00,Passenger ship,6.8,228,34
2023-09-10 00:04:40,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.09218333,-146.61615000,232.6,14.5,GLACIER BAY,2023-09-11 14:30:00,Passenger ship,6.8,228,34
2023-09-10 00:05:10,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.09093333,-146.61936667,229.7,14.5,GLACIER BAY,2023-09-11 14:30:00,Passenger ship,6.8,228,34
2023-09-10 00:05:39,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.08965000,-146.62235000,227.1,14.5,GLACIER BAY,2023-09-11 14:30:00,Passenger ship,6.8,228,34
2023-09-10 00:08:00,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.08313333,-146.63625000,225.1,14.5,GLACIER BAY,2023-09-11 14:30:00,Passenger ship,6.8,228,34
2023-09-10 00:11:30,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.07305000,-146.65680000,221.8,14.5,GLACIER BAY,2023-09-11 14:30:00,Passenger ship,6.8,228,34
2023-09-10 00:12:00,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.07156667,-146.65938333,218.8,14.5,GLACIER BAY,2023-09-11 14:30:00,Passenger ship,6.8,228,34
2023-09-10 00:12:30,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.06993333,-146.66198333,216.6,14.5,GLACIER BAY,2023-09-11 14:30:00,Passenger ship,6.8,228,34
2023-09-10 00:13:09,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.06786667,-146.66500000,214.5,14.4,GLACIER BAY,2023-09-11 14:30:00,Passenger ship,6.8,228,34
2023-09-10 00:15:07,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.06131667,-146.67425000,211.6,14.3,GLACIER BAY,2023-09-11 14:30:00,Passenger ship,6.8,228,34
2023-09-10 00:15:30,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.06011667,-146.67568333,209.1,14.2,GLACIER BAY,2023-09-11 14:30:00,Passenger ship,6.8,228,34
2023-09-10 00:16:01,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.05831667,-146.67760000,206.0,14.2,GLACIER BAY,2023-09-11 14:30:00,Passenger ship,6.8,228,34
2023-09-10 00:19:21,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.04630000,-146.68960000,208.0,14.4,GLACIER BAY,2023-09-11 14:30:00,Passenger ship,6.8,228,34
2023-09-10 00:19:50,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.04461667,-146.69158333,211.2,14.4,GLACIER BAY,2023-09-11 14:30:00,Passenger ship,6.8,228,34
2023-09-10 00:20:21,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.04288333,-146.69386667,214.1,14.2,GLACIER BAY,2023-09-11 14:30:00,Passenger ship,6.8,228,34
2023-09-10 00:20:40,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.04186667,-146.69536667,216.1,14.3,GLACIER BAY,2023-09-11 14:30:00,Passenger ship,6.8,228,34
2023-09-10 00:22:00,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.03766667,-146.70195000,218.2,14.3,GLACIER BAY,2023-09-11 14:30:00,Passenger ship,6.8,228,34
2023-09-10 00:23:40,257034130,LAYQ7,9796250,VIKING ORION,Moored,61.03251667,-146.71043333,220.3,14.3,GLACIER BAY,2023-09-11 14:30:00,Passenger ship,6.8,228,34
