,bs_ts,mmsi,callsign,imo,name,nav_status,lat,lon,cog,sog,destination,eta,shiptype,draught,length,width
441,2023-07-02 22:17:56,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,57.80046667,-133.59975,353.9,9.2,"TRACEY ARM, US",2023-07-02 21:30:00,Passenger ship,8.1,294.0,36.0
442,2023-07-02 22:18:27,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,57.80183833,-133.60003667,353.5,9.8,"TRACEY ARM, US",2023-07-02 21:30:00,Passenger ship,8.1,294.0,36.0
443,2023-07-02 22:18:56,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,57.80320333,-133.60032333,353.9,10.4,"TRACEY ARM, US",2023-07-02 21:30:00,Passenger ship,8.1,294.0,36.0
444,2023-07-02 22:19:27,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,57.80474333,-133.60055,356.1,10.9,"TRACEY ARM, US",2023-07-02 21:30:00,Passenger ship,8.1,294.0,36.0
445,2023-07-02 22:20:07,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,57.80684667,-133.60073667,357.9,11.6,"TRACEY ARM, US",2023-07-02 21:30:00,Passenger ship,8.1,294.0,36.0
446,2023-07-02 22:20:47,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,57.80907833,-133.60084667,358.7,12.3,"TRACEY ARM, US",2023-07-02 21:30:00,Passenger ship,8.1,294.0,36.0
447,2023-07-02 22:21:47,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,57.81262,-133.60075667,2.5,13.1,"TRACEY ARM, US",2023-07-02 21:30:00,Passenger ship,8.1,294.0,36.0
448,2023-07-02 22:22:27,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,57.81509,-133.600365,5.7,13.5,"TRACEY ARM, US",2023-07-02 21:30:00,Passenger ship,8.1,294.0,36.0
449,2023-07-02 22:23:45,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,57.82005333,-133.59923667,7.2,14.1,"TRACEY ARM, US",2023-07-02 21:30:00,Passenger ship,8.1,294.0,36.0
450,2023-07-02 22:26:21,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,57.83032167,-133.596635,8.0,14.6,"TRACEY ARM, US",2023-07-02 21:30:00,Passenger ship,8.1,294.0,36.0
451,2023-07-02 22:31:21,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,57.85049333,-133.59109667,8.0,14.8,"TRACEY ARM, US",2023-07-02 21:30:00,Passenger ship,8.1,294.0,36.0
452,2023-07-02 22:33:27,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,57.85904833,-133.588975,5.9,14.8,"TRACEY ARM, US",2023-07-02 21:30:00,Passenger ship,8.1,294.0,36.0
