bs_ts,ak_dt,mmsi,imo,call_sign,name,lat,lon,sog,cog
2012-08-25 23:55:20,2012-08-25 14:55:20,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44373,-135.3288,0.0,223.0
2012-08-25 23:58:21,2012-08-25 14:58:21,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44373,-135.3289,0.0,223.0
2012-08-26 00:01:22,2012-08-25 15:01:22,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,223.0
2012-08-26 00:10:27,2012-08-25 15:10:27,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44373,-135.3288,0.0,223.0
2012-08-26 00:19:31,2012-08-25 15:19:31,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44373,-135.3289,0.0,223.0
2012-08-26 00:28:33,2012-08-25 15:28:33,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3289,0.0,223.0
2012-08-26 00:37:39,2012-08-25 15:37:39,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,223.0
2012-08-26 00:46:07,2012-08-25 15:46:07,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,223.0
2012-08-26 00:47:01,2012-08-25 15:47:01,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44373,-135.3288,0.0,223.0
2012-08-26 00:57:05,2012-08-25 15:57:05,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,223.0
2012-08-26 01:06:11,2012-08-25 16:06:11,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44373,-135.3288,0.0,223.0
2012-08-26 01:12:39,2012-08-25 16:12:39,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44373,-135.3288,0.0,223.0
2012-08-26 01:13:01,2012-08-25 16:13:01,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44373,-135.3288,0.0,223.0
2012-08-26 01:14:02,2012-08-25 16:14:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44373,-135.3288,0.0,223.0
2012-08-26 01:15:02,2012-08-25 16:15:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44373,-135.3288,0.0,223.0
2012-08-26 01:21:43,2012-08-25 16:21:43,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44373,-135.3288,0.0,223.0
2012-08-26 01:22:01,2012-08-25 16:22:01,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44373,-135.3288,0.0,223.0
2012-08-26 01:23:00,2012-08-25 16:23:00,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44373,-135.3288,0.0,223.0
2012-08-26 01:30:53,2012-08-25 16:30:53,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44373,-135.3288,0.0,223.0
2012-08-26 01:31:00,2012-08-25 16:31:00,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,223.0
2012-08-26 01:32:00,2012-08-25 16:32:00,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,223.0
2012-08-26 01:33:00,2012-08-25 16:33:00,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,223.0
2012-08-26 01:36:00,2012-08-25 16:36:00,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,223.0
2012-08-26 01:45:05,2012-08-25 16:45:05,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,223.0
2012-08-26 01:48:08,2012-08-25 16:48:08,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,223.0
2012-08-26 01:57:11,2012-08-25 16:57:11,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,223.0
2012-08-26 02:00:13,2012-08-25 17:00:13,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
2012-08-26 02:09:16,2012-08-25 17:09:16,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44365,-135.3288,0.0,222.0
2012-08-26 02:12:18,2012-08-25 17:12:18,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
2012-08-26 02:21:19,2012-08-25 17:21:19,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
2012-08-26 02:24:07,2012-08-25 17:24:07,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
2012-08-26 02:25:00,2012-08-25 17:25:00,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
2012-08-26 02:32:11,2012-08-25 17:32:11,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
2012-08-26 02:33:01,2012-08-25 17:33:01,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
2012-08-26 02:34:01,2012-08-25 17:34:01,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
2012-08-26 02:35:01,2012-08-25 17:35:01,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
2012-08-26 02:36:01,2012-08-25 17:36:01,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
2012-08-26 02:44:20,2012-08-25 17:44:20,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
2012-08-26 02:46:26,2012-08-25 17:46:26,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
2012-08-26 02:49:28,2012-08-25 17:49:28,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
2012-08-26 02:57:19,2012-08-25 17:57:19,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
2012-08-26 03:00:21,2012-08-25 18:00:21,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
2012-08-26 03:01:01,2012-08-25 18:01:01,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
2012-08-26 03:02:01,2012-08-25 18:02:01,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
2012-08-26 03:08:54,2012-08-25 18:08:54,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
2012-08-26 03:09:00,2012-08-25 18:09:00,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
2012-08-26 03:10:00,2012-08-25 18:10:00,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
2012-08-26 03:12:57,2012-08-25 18:12:57,310384000,9230402,ZCDG4,ISLAND PRINCESS,59.44375,-135.3288,0.0,222.0
