bs_ts,ak_dt,mmsi,imo,call_sign,name,lat,lon,sog,cog
2012-07-14 15:34:44,2012-07-14 06:34:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,267.5
2012-07-14 15:37:44,2012-07-14 06:37:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,236.3
2012-07-14 15:40:44,2012-07-14 06:40:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,272.8
2012-07-14 15:43:44,2012-07-14 06:43:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,261.2
2012-07-14 15:46:45,2012-07-14 06:46:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,245.3
2012-07-14 15:49:43,2012-07-14 06:49:43,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,276.2
2012-07-14 15:52:45,2012-07-14 06:52:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,283.5
2012-07-14 15:55:43,2012-07-14 06:55:43,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,215.5
2012-07-14 15:58:44,2012-07-14 06:58:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,230.5
2012-07-14 16:01:43,2012-07-14 07:01:43,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,207.5
2012-07-14 16:04:45,2012-07-14 07:04:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,164.6
2012-07-14 16:07:44,2012-07-14 07:07:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,186.4
2012-07-14 16:10:44,2012-07-14 07:10:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,208.1
2012-07-14 16:13:43,2012-07-14 07:13:43,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,198.7
2012-07-14 16:16:43,2012-07-14 07:16:43,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,203.6
2012-07-14 16:19:44,2012-07-14 07:19:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,189.7
2012-07-14 16:22:44,2012-07-14 07:22:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,299.6
2012-07-14 16:25:43,2012-07-14 07:25:43,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,317.6
2012-07-14 16:28:43,2012-07-14 07:28:43,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,327.3
2012-07-14 16:31:45,2012-07-14 07:31:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,300.0
2012-07-14 16:34:44,2012-07-14 07:34:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.1,240.7
2012-07-14 16:37:44,2012-07-14 07:37:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,329.5
2012-07-14 16:40:45,2012-07-14 07:40:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,325.3
2012-07-14 16:43:44,2012-07-14 07:43:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,205.3
2012-07-14 16:46:44,2012-07-14 07:46:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,245.6
2012-07-14 16:49:45,2012-07-14 07:49:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,223.1
2012-07-14 16:52:44,2012-07-14 07:52:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,142.4
