,segment_id,port,start_index,end_index,port_duration,timelapse,time_in,time_out,distance_nm,imo,name
588,NIEUW_AMSTERDAM_0136,Glacier Bay,36437,36715,9.972777777777777,9.973,2023-08-04 05:46:19-08:00,2023-08-04 15:44:41-08:00,113.71,9378450.0,NIEUW AMSTERDAM
592,NIEUW_AMSTERDAM_0144,Glacier Bay,38579,38866,10.383611111111112,10.384,2023-08-08 08:11:20-08:00,2023-08-08 18:34:21-08:00,118.54,9378450.0,NIEUW AMSTERDAM
599,NIEUW_AMSTERDAM_0158,Glacier Bay,42278,42513,9.574166666666667,9.574,2023-08-18 05:45:01-08:00,2023-08-18 15:19:28-08:00,116.6,9378450.0,NIEUW AMSTERDAM
603,NIEUW_AMSTERDAM_0166,Glacier Bay,44385,44651,10.518888888888888,10.519,2023-08-22 08:12:35-08:00,2023-08-22 18:43:43-08:00,120.66,9378450.0,NIEUW AMSTERDAM
610,NIEUW_AMSTERDAM_0180,Glacier Bay,48159,48419,9.6175,9.617,2023-09-01 05:47:43-08:00,2023-09-01 15:24:46-08:00,114.19,9378450.0,NIEUW AMSTERDAM
614,NIEUW_AMSTERDAM_0188,Glacier Bay,50368,50647,10.7575,10.758,2023-09-05 08:01:25-08:00,2023-09-05 18:46:52-08:00,127.0,9378450.0,NIEUW AMSTERDAM
621,NIEUW_AMSTERDAM_0202,Glacier Bay,53956,54196,9.095555555555556,9.096,2023-09-15 06:21:30-08:00,2023-09-15 15:27:14-08:00,109.55,9378450.0,NIEUW AMSTERDAM
625,NIEUW_AMSTERDAM_0210,Glacier Bay,56460,56700,10.5325,10.533,2023-09-19 08:09:16-08:00,2023-09-19 18:41:13-08:00,119.18,9378450.0,NIEUW AMSTERDAM
631,NIEUW_AMSTERDAM_0222,Glacier Bay,59769,60043,9.33,9.33,2023-09-28 07:09:45-08:00,2023-09-28 16:29:33-08:00,116.06,9378450.0,NIEUW AMSTERDAM
640,NOORDAM_0016,Glacier Bay,4230,4563,10.04138888888889,10.041,2023-05-19 05:49:09-08:00,2023-05-19 15:51:38-08:00,121.46,9230115.0,NOORDAM
644,NOORDAM_0024,Glacier Bay,6733,7056,10.126666666666667,10.127,2023-05-23 08:12:37-08:00,2023-05-23 18:20:13-08:00,118.61,9230115.0,NOORDAM
651,NOORDAM_0038,Glacier Bay,10492,10836,10.178888888888888,10.179,2023-06-02 06:04:47-08:00,2023-06-02 16:15:31-08:00,120.91,9230115.0,NOORDAM
655,NOORDAM_0046,Glacier Bay,12913,13275,10.143611111111111,10.144,2023-06-06 08:09:30-08:00,2023-06-06 18:18:07-08:00,120.97,9230115.0,NOORDAM
662,NOORDAM_0060,Glacier Bay,16772,17104,10.266111111111112,10.266,2023-06-16 05:49:58-08:00,2023-06-16 16:05:56-08:00,120.66,9230115.0,NOORDAM
666,NOORDAM_0068,Glacier Bay,19387,19614,10.548333333333334,10.548,2023-06-20 08:14:03-08:00,2023-06-20 18:46:57-08:00,120.29,9230115.0,NOORDAM
673,NOORDAM_0082,Glacier Bay,23116,23429,10.312777777777777,10.313,2023-06-30 05:51:09-08:00,2023-06-30 16:09:55-08:00,119.45,9230115.0,NOORDAM
677,NOORDAM_0090,Glacier Bay,25491,25821,10.083333333333334,10.083,2023-07-04 08:12:55-08:00,2023-07-04 18:17:55-08:00,120.06,9230115.0,NOORDAM
684,NOORDAM_0104,Glacier Bay,29224,29637,11.796666666666667,11.797,2023-07-14 06:01:56-08:00,2023-07-14 17:49:44-08:00,122.0,9230115.0,NOORDAM
688,NOORDAM_0112,Glacier Bay,31584,31896,10.356111111111112,10.356,2023-07-18 08:16:02-08:00,2023-07-18 18:37:24-08:00,119.75,9230115.0,NOORDAM
695,NOORDAM_0126,Glacier Bay,35526,35883,10.528333333333334,10.528,2023-07-28 05:45:38-08:00,2023-07-28 16:17:20-08:00,121.36,9230115.0,NOORDAM
699,NOORDAM_0134,Glacier Bay,37994,38281,10.440833333333334,10.441,2023-08-01 08:14:19-08:00,2023-08-01 18:40:46-08:00,119.32,9230115.0,NOORDAM
706,NOORDAM_0148,Glacier Bay,41702,42039,10.208333333333334,10.208,2023-08-11 06:05:06-08:00,2023-08-11 16:17:36-08:00,122.18,9230115.0,NOORDAM
710,NOORDAM_0156,Glacier Bay,44382,44741,10.203055555555556,10.203,2023-08-15 08:13:17-08:00,2023-08-15 18:25:28-08:00,119.61,9230115.0,NOORDAM
717,NOORDAM_0170,Glacier Bay,48417,48767,9.908611111111112,9.909,2023-08-25 05:50:54-08:00,2023-08-25 15:45:25-08:00,119.65,9230115.0,NOORDAM
721,NOORDAM_0178,Glacier Bay,50973,51315,10.069722222222222,10.07,2023-08-29 08:13:05-08:00,2023-08-29 18:17:16-08:00,121.45,9230115.0,NOORDAM
728,NOORDAM_0192,Glacier Bay,54955,55304,10.495555555555555,10.496,2023-09-08 06:16:09-08:00,2023-09-08 16:45:53-08:00,125.86,9230115.0,NOORDAM
732,NOORDAM_0200,Glacier Bay,57724,58082,10.420555555555556,10.421,2023-09-12 08:09:41-08:00,2023-09-12 18:34:55-08:00,122.19,9230115.0,NOORDAM
737,NOORDAM_0210,Glacier Bay,61667,62034,10.625833333333333,10.626,2023-09-25 06:54:07-08:00,2023-09-25 17:31:40-08:00,121.15,9230115.0,NOORDAM
744,NORWEGIAN_BLISS_0006,Glacier Bay,1109,1418,8.970833333333333,8.971,2023-04-19 05:50:19-08:00,2023-04-19 14:48:34-08:00,126.32,9751509.0,NORWEGIAN BLISS
748,NORWEGIAN_BLISS_0014,Glacier Bay,3464,3823,9.340277777777779,9.34,2023-04-26 05:49:19-08:00,2023-04-26 15:09:44-08:00,115.79,9751509.0,NORWEGIAN BLISS
752,NORWEGIAN_BLISS_0022,Glacier Bay,5739,6024,9.224166666666667,9.224,2023-05-03 05:53:26-08:00,2023-05-03 15:06:53-08:00,119.85,9751509.0,NORWEGIAN BLISS
858,NORWEGIAN_BLISS_0234,Glacier Bay,59992,60271,8.611666666666666,8.612,2023-10-04 07:03:04-08:00,2023-10-04 15:39:46-08:00,116.63,9751509.0,NORWEGIAN BLISS
862,NORWEGIAN_BLISS_0242,Glacier Bay,62347,62647,8.11,8.11,2023-10-11 07:20:02-08:00,2023-10-11 15:26:38-08:00,117.5,9751509.0,NORWEGIAN BLISS
866,NORWEGIAN_BLISS_0250,Glacier Bay,64470,64712,8.296666666666667,8.297,2023-10-18 07:39:37-08:00,2023-10-18 15:57:25-08:00,117.9,9751509.0,NORWEGIAN BLISS
869,NORWEGIAN_BLISS_0256,Glacier Bay,66906,67206,8.030277777777778,8.03,2023-10-25 07:48:23-08:00,2023-10-25 15:50:12-08:00,116.79,9751509.0,NORWEGIAN BLISS
873,NORWEGIAN_ENCORE_0006,Glacier Bay,1123,1320,9.278888888888888,9.279,2023-05-11 05:46:12-08:00,2023-05-11 15:02:56-08:00,121.72,9751511.0,NORWEGIAN ENCORE
