,index,date,boatName,mmsi,imo,portAfter,portBefore,ts_in,ts_out,timeTo,distTo,first_ts_in_next_port,mean_sog,max_sog,segment_id
10,4,2012-05-19,CORAL PRINCESS,310376000,9229659,Glacier Bay,Skagway,2012-05-19 06:02:26-08:00,2012-05-19 14:40:07-08:00,90.329,251.42,2012-05-23 08:59:52-08:00,12.772849462365592,19.2,CORAL_PRINCESS_0008
11,49,2012-05-20,ISLAND PRINCESS,310384000,9230402,Ketchikan,Skagway,2012-05-20 06:09:02-08:00,2012-05-20 14:58:19-08:00,17.907,303.96,2012-05-21 08:52:45-08:00,16.388053097345132,21.2,ISLAND_PRINCESS_0006
12,130,2012-05-20,VOLENDAM,245968000,9156515,Ketchikan,Skagway,2012-05-20 06:57:02-08:00,2012-05-20 15:55:55-08:00,16.719,302.28,2012-05-21 08:39:02-08:00,17.90200668896321,21.1,VOLENDAM_0022
13,0,2012-05-21,AMSTERDAM,244370000,9188037,Ketchikan,Juneau,2012-05-21 07:05:01-08:00,2012-05-21 16:04:29-08:00,38.249,380.34,2012-05-23 06:19:27-08:00,10.692045454545454,18.2,AMSTERDAM_0004
14,150,2012-05-22,WESTERDAM,244128000,9226891,Ketchikan,Juneau,2012-05-22 07:11:07-08:00,2012-05-22 17:48:03-08:00,36.518,361.78,2012-05-24 06:19:06-08:00,10.785864793678666,18.5,WESTERDAM_0010
15,171,2012-05-22,ZAANDAM,246442000,9156527,Haines,Glacier Bay,2012-05-22 09:04:05-08:00,2012-05-22 19:12:40-08:00,10.725,105.74,2012-05-23 05:56:10-08:00,9.717766497461929,15.3,ZAANDAM_0020
16,189,2012-05-23,ZUIDERDAM,245304000,9221279,Ketchikan,Skagway,2012-05-23 06:28:35-08:00,2012-05-23 15:45:35-08:00,17.841,331.46,2012-05-24 09:36:03-08:00,18.056367432150314,21.1,ZUIDERDAM_0014
17,5,2012-05-23,CORAL PRINCESS,310376000,9229659,Skagway,Glacier Bay,2012-05-23 09:16:14-08:00,2012-05-23 19:42:14-08:00,9.046,117.27,2012-05-24 04:45:01-08:00,12.944836956521739,15.0,CORAL_PRINCESS_0010
18,70,2012-05-24,NORWEGIAN PEARL,309653000,9342281,Ketchikan,Skagway,2012-05-24 06:06:21-08:00,2012-05-24 14:35:07-08:00,14.865,303.12,2012-05-25 05:27:02-08:00,19.972542372881357,22.8,NORWEGIAN_PEARL_0068
19,88,2012-05-24,SAPPHIRE PRINCESS,310405000,9228186,Hubbard Glacier,Skagway,2012-05-24 06:30:35-08:00,2012-05-24 15:38:47-08:00,72.04,713.38,2012-05-27 15:41:12-08:00,16.43378016085791,19.1,SAPPHIRE_PRINCESS_0008
20,111,2012-05-25,STATENDAM,244078000,8919245,Glacier Bay,Skagway,2012-05-25 07:10:02-08:00,2012-05-25 16:41:08-08:00,89.016,149.53,2012-05-29 09:42:05-08:00,12.911658031088084,18.4,STATENDAM_0008
21,131,2012-05-27,VOLENDAM,245968000,9156515,Ketchikan,Skagway,2012-05-27 06:35:01-08:00,2012-05-27 16:59:50-08:00,16.454,304.78,2012-05-28 09:27:05-08:00,18.497637795275594,21.7,VOLENDAM_0030
22,50,2012-05-28,ISLAND PRINCESS,310384000,9230402,Hubbard Glacier,Skagway,2012-05-28 06:02:01-08:00,2012-05-28 15:15:04-08:00,72.336,678.41,2012-05-31 15:35:13-08:00,16.512216624685138,19.3,ISLAND_PRINCESS_0016
23,89,2012-05-28,SAPPHIRE PRINCESS,310405000,9228186,Skagway,Hubbard Glacier,2012-05-28 09:36:16-08:00,2012-05-28 19:36:01-08:00,9.135,116.52,2012-05-29 04:44:07-08:00,12.774542124542124,15.4,SAPPHIRE_PRINCESS_0012
24,151,2012-05-29,WESTERDAM,244128000,9226891,Ketchikan,atSea,2012-05-29 07:08:03-08:00,2012-05-29 18:31:08-08:00,35.17,461.3,2012-05-31 06:24:00-08:00,16.418296529968455,22.4,WESTERDAM_0016
25,112,2012-05-29,STATENDAM,244078000,8919245,Haines,Glacier Bay,2012-05-29 10:06:05-08:00,2012-05-29 19:33:06-08:00,10.283,105.68,2012-05-30 05:50:06-08:00,10.283252032520325,15.1,STATENDAM_0010
26,40,2012-05-30,GOLDEN PRINCESS,310344000,9192351,Ketchikan,Skagway,2012-05-30 05:54:14-08:00,2012-05-30 14:32:04-08:00,15.149,301.44,2012-05-31 05:41:00-08:00,19.910852713178294,21.9,GOLDEN_PRINCESS_0010
27,190,2012-05-30,ZUIDERDAM,245304000,9221279,Ketchikan,Skagway,2012-05-30 06:09:49-08:00,2012-05-30 15:47:12-08:00,17.964,326.82,2012-05-31 09:45:04-08:00,18.222252747252746,21.7,ZUIDERDAM_0022
28,71,2012-05-31,NORWEGIAN PEARL,309653000,9342281,Ketchikan,Skagway,2012-05-31 06:02:00-08:00,2012-05-31 14:41:00-08:00,14.8,302.84,2012-06-01 05:29:00-08:00,20.467005649717517,23.5,NORWEGIAN_PEARL_0092
29,23,2012-05-31,DIAMOND PRINCESS,310404000,9228198,Glacier Bay,Skagway,2012-05-31 06:15:04-08:00,2012-05-31 15:39:07-08:00,89.3,260.23,2012-06-04 08:57:08-08:00,13.547154471544717,20.0,DIAMOND_PRINCESS_0024
30,172,2012-06-01,ZAANDAM,246442000,9156527,Glacier Bay,Skagway,2012-06-01 06:57:07-08:00,2012-06-01 16:18:00-08:00,89.102,246.79,2012-06-05 09:24:06-08:00,11.108383233532933,15.3,ZAANDAM_0034
31,51,2012-06-01,ISLAND PRINCESS,310384000,9230402,Skagway,Hubbard Glacier,2012-06-01 08:49:09-08:00,2012-06-01 18:28:01-08:00,11.567,117.81,2012-06-02 06:02:01-08:00,10.193352601156068,12.0,ISLAND_PRINCESS_0020
32,6,2012-06-02,CORAL PRINCESS,310376000,9229659,Glacier Bay,Skagway,2012-06-02 05:57:13-08:00,2012-06-02 14:47:01-08:00,90.101,251.77,2012-06-06 08:53:03-08:00,14.363537906137184,21.4,CORAL_PRINCESS_0024
33,132,2012-06-03,VOLENDAM,245968000,9156515,Ketchikan,Skagway,2012-06-03 06:41:05-08:00,2012-06-03 16:25:00-08:00,17.035,304.64,2012-06-04 09:27:07-08:00,17.757367387033398,21.8,VOLENDAM_0038
34,24,2012-06-04,DIAMOND PRINCESS,310404000,9228198,Skagway,Glacier Bay,2012-06-04 09:20:08-08:00,2012-06-04 19:26:06-08:00,9.417,117.27,2012-06-05 04:51:08-08:00,12.465896980461812,13.5,DIAMOND_PRINCESS_0026
35,152,2012-06-05,WESTERDAM,244128000,9226891,atSea,Juneau,2012-06-05 07:11:05-08:00,2012-06-05 17:55:01-08:00,43.381,360.09,2012-06-07 06:14:09-08:00,10.754652466367713,18.4,WESTERDAM_0022
36,173,2012-06-05,ZAANDAM,246442000,9156527,Haines,Glacier Bay,2012-06-05 09:52:08-08:00,2012-06-05 19:06:00-08:00,10.734,105.48,2012-06-06 05:50:04-08:00,9.830359937402191,15.3,ZAANDAM_0036
37,191,2012-06-06,ZUIDERDAM,245304000,9221279,Ketchikan,Skagway,2012-06-06 06:21:57-08:00,2012-06-06 15:44:51-08:00,17.754,327.36,2012-06-07 09:30:06-08:00,18.124785100286534,22.5,ZUIDERDAM_0030
38,7,2012-06-06,CORAL PRINCESS,310376000,9229659,Skagway,Glacier Bay,2012-06-06 09:15:33-08:00,2012-06-06 19:42:07-08:00,9.032,117.58,2012-06-07 04:44:02-08:00,13.056273764258554,17.2,CORAL_PRINCESS_0026
39,72,2012-06-07,NORWEGIAN PEARL,309653000,9342281,Ketchikan,Skagway,2012-06-07 06:06:00-08:00,2012-06-07 15:10:00-08:00,14.2,303.47,2012-06-08 05:22:00-08:00,21.410179640718564,25.4,NORWEGIAN_PEARL_0132
40,90,2012-06-07,SAPPHIRE PRINCESS,310405000,9228186,Hubbard Glacier,Skagway,2012-06-07 06:27:03-08:00,2012-06-07 16:09:00-08:00,71.491,712.03,2012-06-10 15:38:26-08:00,16.669570267131242,19.7,SAPPHIRE_PRINCESS_0026
41,113,2012-06-08,STATENDAM,244078000,8919245,Glacier Bay,Skagway,2012-06-08 07:04:01-08:00,2012-06-08 16:35:02-08:00,89.068,850.18,2012-06-12 09:39:08-08:00,12.902165725047082,18.2,STATENDAM_0024
42,133,2012-06-10,VOLENDAM,245968000,9156515,Ketchikan,Skagway,2012-06-10 06:34:04-08:00,2012-06-10 16:57:00-08:00,16.368,300.05,2012-06-11 09:19:06-08:00,18.352196118488255,21.7,VOLENDAM_0046
43,52,2012-06-11,ISLAND PRINCESS,310384000,9230402,Hubbard Glacier,Skagway,2012-06-11 05:52:02-08:00,2012-06-11 15:36:03-08:00,72.779,727.84,2012-06-14 16:22:46-08:00,16.2220566318927,18.8,ISLAND_PRINCESS_0034
44,91,2012-06-11,SAPPHIRE PRINCESS,310405000,9228186,Skagway,Hubbard Glacier,2012-06-11 09:31:02-08:00,2012-06-11 19:32:02-08:00,9.185,116.94,2012-06-12 04:43:07-08:00,12.74735883424408,15.3,SAPPHIRE_PRINCESS_0030
45,153,2012-06-12,WESTERDAM,244128000,9226891,Ketchikan,atSea,2012-06-12 07:00:07-08:00,2012-06-12 18:17:00-08:00,35.049,326.84,2012-06-14 06:17:06-08:00,10.863582089552239,21.4,WESTERDAM_0028
46,114,2012-06-12,STATENDAM,244078000,8919245,Haines,Glacier Bay,2012-06-12 09:56:08-08:00,2012-06-12 19:38:06-08:00,10.115,105.14,2012-06-13 05:45:01-08:00,10.403378378378378,15.4,STATENDAM_0026
47,41,2012-06-13,GOLDEN PRINCESS,310344000,9192351,Ketchikan,Skagway,2012-06-13 05:55:57-08:00,2012-06-13 14:15:03-08:00,15.333,299.95,2012-06-14 05:35:02-08:00,19.57284623773173,21.8,GOLDEN_PRINCESS_0026
48,192,2012-06-13,ZUIDERDAM,245304000,9221279,Ketchikan,Skagway,2012-06-13 06:06:02-08:00,2012-06-13 16:17:46-08:00,17.354,327.82,2012-06-14 09:39:01-08:00,18.5949177877429,21.6,ZUIDERDAM_0038
49,73,2012-06-14,NORWEGIAN PEARL,309653000,9342281,Ketchikan,Skagway,2012-06-14 05:55:00-08:00,2012-06-14 14:41:00-08:00,14.683,303.0,2012-06-15 05:22:00-08:00,20.59283276450512,23.6,NORWEGIAN_PEARL_0150
50,25,2012-06-14,DIAMOND PRINCESS,310404000,9228198,Hubbard Glacier,Skagway,2012-06-14 06:23:08-08:00,2012-06-14 15:45:08-08:00,72.286,710.3,2012-06-17 16:02:16-08:00,16.64194630872483,19.7,DIAMOND_PRINCESS_0040
51,174,2012-06-15,ZAANDAM,246442000,9156527,Glacier Bay,Skagway,2012-06-15 06:55:05-08:00,2012-06-15 16:12:01-08:00,89.217,266.19,2012-06-19 09:25:01-08:00,12.347833065810594,15.8,ZAANDAM_0050
52,53,2012-06-15,ISLAND PRINCESS,310384000,9230402,Skagway,Hubbard Glacier,2012-06-15 08:49:13-08:00,2012-06-15 18:27:10-08:00,11.748,117.42,2012-06-16 06:12:02-08:00,10.008108108108107,11.9,ISLAND_PRINCESS_0038
53,8,2012-06-16,CORAL PRINCESS,310376000,9229659,Glacier Bay,Skagway,2012-06-16 05:57:22-08:00,2012-06-16 15:04:03-08:00,89.82,250.48,2012-06-20 08:53:14-08:00,13.556007751937983,20.3,CORAL_PRINCESS_0040
54,107,2012-06-17,SEA PRINCESS,310465000,9150913,Ketchikan,Skagway,2012-06-17 06:04:00-08:00,2012-06-17 15:23:00-08:00,16.983,301.25,2012-06-18 08:22:00-08:00,17.75732546705998,21.4,SEA_PRINCESS_0030
55,134,2012-06-17,VOLENDAM,245968000,9156515,Ketchikan,Skagway,2012-06-17 06:38:02-08:00,2012-06-17 15:50:07-08:00,17.565,302.44,2012-06-18 09:24:00-08:00,17.21815589353612,19.4,VOLENDAM_0054
56,26,2012-06-18,DIAMOND PRINCESS,310404000,9228198,Skagway,Hubbard Glacier,2012-06-18 09:15:00-08:00,2012-06-18 19:26:08-08:00,9.434,116.27,2012-06-19 04:52:09-08:00,12.353285968028418,14.0,DIAMOND_PRINCESS_0044
57,154,2012-06-19,WESTERDAM,244128000,9226891,atSea,atSea,2012-06-19 07:06:06-08:00,2012-06-19 17:28:01-08:00,35.368,354.26,2012-06-21 06:28:04-08:00,12.122541233964569,18.4,WESTERDAM_0034
58,175,2012-06-19,ZAANDAM,246442000,9156527,Haines,Glacier Bay,2012-06-19 09:49:02-08:00,2012-06-19 19:18:01-08:00,10.417,104.97,2012-06-20 05:43:03-08:00,10.064526484751205,14.9,ZAANDAM_0052
59,193,2012-06-20,ZUIDERDAM,245304000,9221279,Ketchikan,Skagway,2012-06-20 06:32:11-08:00,2012-06-20 15:42:09-08:00,17.966,326.64,2012-06-21 09:40:06-08:00,17.64149560117302,22.3,ZUIDERDAM_0046
60,9,2012-06-20,CORAL PRINCESS,310376000,9229659,Skagway,Glacier Bay,2012-06-20 09:13:03-08:00,2012-06-20 19:22:06-08:00,9.416,117.06,2012-06-21 04:47:05-08:00,12.494565217391305,16.6,CORAL_PRINCESS_0042
61,74,2012-06-21,NORWEGIAN PEARL,309653000,9342281,Ketchikan,Skagway,2012-06-21 05:52:00-08:00,2012-06-21 14:44:00-08:00,14.6,300.8,2012-06-22 05:20:00-08:00,20.29633507853403,24.8,NORWEGIAN_PEARL_0158
62,92,2012-06-21,SAPPHIRE PRINCESS,310405000,9228186,Hubbard Glacier,Skagway,2012-06-21 06:21:04-08:00,2012-06-21 16:00:05-08:00,71.523,713.77,2012-06-24 15:31:29-08:00,16.731513903192585,19.0,SAPPHIRE_PRINCESS_0044
63,115,2012-06-22,STATENDAM,244078000,8919245,Glacier Bay,Skagway,2012-06-22 07:04:05-08:00,2012-06-22 16:24:01-08:00,89.236,262.94,2012-06-26 09:38:09-08:00,12.995833333333334,18.1,STATENDAM_0040
64,135,2012-06-24,VOLENDAM,245968000,9156515,Ketchikan,Skagway,2012-06-24 06:42:07-08:00,2012-06-24 16:58:00-08:00,16.268,303.62,2012-06-25 09:14:04-08:00,18.77258064516129,21.7,VOLENDAM_0062
65,54,2012-06-25,ISLAND PRINCESS,310384000,9230402,Hubbard Glacier,Skagway,2012-06-25 06:02:05-08:00,2012-06-25 15:54:08-08:00,72.024,711.49,2012-06-28 15:55:34-08:00,16.655201958384332,18.5,ISLAND_PRINCESS_0052
66,93,2012-06-25,SAPPHIRE PRINCESS,310405000,9228186,Skagway,Hubbard Glacier,2012-06-25 09:29:15-08:00,2012-06-25 19:56:07-08:00,8.799,118.53,2012-06-26 04:44:05-08:00,13.524086021505376,17.4,SAPPHIRE_PRINCESS_0048
67,155,2012-06-26,WESTERDAM,244128000,9226891,atSea,Juneau,2012-06-26 07:03:05-08:00,2012-06-26 18:30:01-08:00,32.669,265.64,2012-06-28 06:17:05-08:00,10.042642642642642,20.1,WESTERDAM_0040
68,116,2012-06-26,STATENDAM,244078000,8919245,Haines,Glacier Bay,2012-06-26 09:57:08-08:00,2012-06-26 19:20:05-08:00,10.399,104.54,2012-06-27 05:44:02-08:00,10.031147540983607,16.2,STATENDAM_0042
69,42,2012-06-27,GOLDEN PRINCESS,310344000,9192351,Ketchikan,Skagway,2012-06-27 05:52:03-08:00,2012-06-27 14:23:05-08:00,15.249,303.28,2012-06-28 05:38:03-08:00,19.769044414535664,22.4,GOLDEN_PRINCESS_0042
70,194,2012-06-27,ZUIDERDAM,245304000,9221279,Ketchikan,Skagway,2012-06-27 06:06:15-08:00,2012-06-27 16:28:46-08:00,17.538,326.31,2012-06-28 10:01:02-08:00,17.865198237885462,21.4,ZUIDERDAM_0054
71,75,2012-06-28,NORWEGIAN PEARL,309653000,9342281,Ketchikan,Skagway,2012-06-28 06:08:00-08:00,2012-06-28 14:19:00-08:00,15.383,304.88,2012-06-29 05:42:00-08:00,19.8004854368932,23.5,NORWEGIAN_PEARL_0176
72,27,2012-06-28,DIAMOND PRINCESS,310404000,9228198,Hubbard Glacier,Skagway,2012-06-28 06:16:05-08:00,2012-06-28 15:03:07-08:00,72.982,717.08,2012-07-01 16:02:04-08:00,16.746,19.5,DIAMOND_PRINCESS_0058
73,176,2012-06-29,ZAANDAM,246442000,9156527,Glacier Bay,Skagway,2012-06-29 06:56:06-08:00,2012-06-29 16:17:05-08:00,88.166,257.78,2012-07-03 08:27:01-08:00,13.20178861788618,19.0,ZAANDAM_0066
74,55,2012-06-29,ISLAND PRINCESS,310384000,9230402,Skagway,Hubbard Glacier,2012-06-29 08:54:01-08:00,2012-06-29 18:27:06-08:00,11.701,116.46,2012-06-30 06:09:08-08:00,9.97093525179856,12.1,ISLAND_PRINCESS_0056
75,10,2012-06-30,CORAL PRINCESS,310376000,9229659,Glacier Bay,Skagway,2012-06-30 05:59:06-08:00,2012-06-30 14:43:15-08:00,90.264,271.22,2012-07-04 08:59:04-08:00,12.949804687500002,19.9,CORAL_PRINCESS_0056
76,136,2012-07-01,VOLENDAM,245968000,9156515,Ketchikan,Skagway,2012-07-01 06:50:02-08:00,2012-07-01 16:37:00-08:00,17.002,301.73,2012-07-02 09:37:07-08:00,17.757863501483676,23.0,VOLENDAM_0070
77,28,2012-07-02,DIAMOND PRINCESS,310404000,9228198,Skagway,Hubbard Glacier,2012-07-02 09:02:08-08:00,2012-07-02 19:21:05-08:00,9.534,117.27,2012-07-03 04:53:09-08:00,12.32367941712204,14.9,DIAMOND_PRINCESS_0062
78,156,2012-07-03,WESTERDAM,244128000,9226891,atSea,atSea,2012-07-03 07:06:04-08:00,2012-07-03 18:13:01-08:00,47.067,473.45,2012-07-05 06:25:00-08:00,11.625153751537516,19.2,WESTERDAM_0046
79,177,2012-07-03,ZAANDAM,246442000,9156527,Haines,Glacier Bay,2012-07-03 09:59:16-08:00,2012-07-03 19:09:08-08:00,10.633,105.71,2012-07-04 05:47:08-08:00,9.940609951845907,14.9,ZAANDAM_0068
80,195,2012-07-04,ZUIDERDAM,245304000,9221279,Ketchikan,Skagway,2012-07-04 06:41:53-08:00,2012-07-04 15:28:04-08:00,18.101,326.91,2012-07-05 09:34:06-08:00,17.57105643994211,21.2,ZUIDERDAM_0062
81,11,2012-07-04,CORAL PRINCESS,310376000,9229659,Skagway,Glacier Bay,2012-07-04 09:21:03-08:00,2012-07-04 19:17:04-08:00,9.567,117.11,2012-07-05 04:51:06-08:00,12.269755244755245,17.7,CORAL_PRINCESS_0058
82,76,2012-07-05,NORWEGIAN PEARL,309653000,9342281,Ketchikan,Skagway,2012-07-05 06:00:01-08:00,2012-07-05 14:50:02-08:00,14.701,303.13,2012-07-06 05:32:04-08:00,20.650806451612905,24.9,NORWEGIAN_PEARL_0204
83,94,2012-07-05,SAPPHIRE PRINCESS,310405000,9228186,Hubbard Glacier,Skagway,2012-07-05 06:21:02-08:00,2012-07-05 15:51:04-08:00,72.349,711.36,2012-07-08 16:12:00-08:00,16.336423841059602,19.9,SAPPHIRE_PRINCESS_0062
84,117,2012-07-06,STATENDAM,244078000,8919245,Glacier Bay,Skagway,2012-07-06 07:05:04-08:00,2012-07-06 16:01:08-08:00,89.6,158.75,2012-07-10 09:37:07-08:00,13.660859188544151,19.0,STATENDAM_0056
85,108,2012-07-07,SEA PRINCESS,310465000,9150913,Ketchikan,Skagway,2012-07-07 05:57:09-08:00,2012-07-07 15:32:02-08:00,17.035,302.58,2012-07-08 08:34:09-08:00,17.74092247301276,21.1,SEA_PRINCESS_0046
86,137,2012-07-08,VOLENDAM,245968000,9156515,Ketchikan,Skagway,2012-07-08 06:45:02-08:00,2012-07-08 17:03:03-08:00,16.301,301.62,2012-07-09 09:21:08-08:00,18.515881147540984,21.8,VOLENDAM_0078
87,56,2012-07-09,ISLAND PRINCESS,310384000,9230402,Hubbard Glacier,Skagway,2012-07-09 06:05:03-08:00,2012-07-09 15:20:00-08:00,74.099,707.1,2012-07-12 17:25:56-08:00,15.622077922077922,17.9,ISLAND_PRINCESS_0070
88,95,2012-07-09,SAPPHIRE PRINCESS,310405000,9228186,Skagway,Hubbard Glacier,2012-07-09 09:35:07-08:00,2012-07-09 18:57:06-08:00,9.651,119.7,2012-07-10 04:36:08-08:00,12.236915077989602,13.9,SAPPHIRE_PRINCESS_0066
89,157,2012-07-10,WESTERDAM,244128000,9226891,Ketchikan,Juneau,2012-07-10 07:03:01-08:00,2012-07-10 18:11:05-08:00,40.126,392.49,2012-07-12 06:19:00-08:00,12.237674678591393,20.8,WESTERDAM_0052
90,118,2012-07-10,STATENDAM,244078000,8919245,Haines,Glacier Bay,2012-07-10 09:54:06-08:00,2012-07-10 19:07:03-08:00,10.717,111.39,2012-07-11 05:50:03-08:00,10.4015625,11.5,STATENDAM_0058
91,43,2012-07-11,GOLDEN PRINCESS,310344000,9192351,Ketchikan,Skagway,2012-07-11 05:47:00-08:00,2012-07-11 14:30:01-08:00,15.068,302.82,2012-07-12 05:34:05-08:00,20.048777777777776,22.8,GOLDEN_PRINCESS_0058
92,196,2012-07-11,ZUIDERDAM,245304000,9221279,Ketchikan,Skagway,2012-07-11 06:11:25-08:00,2012-07-11 15:02:14-08:00,18.53,327.78,2012-07-12 09:34:03-08:00,17.333378561736772,20.5,ZUIDERDAM_0070
93,77,2012-07-12,NORWEGIAN PEARL,309653000,9342281,Ketchikan,Skagway,2012-07-12 05:59:04-08:00,2012-07-12 14:26:11-08:00,14.997,302.99,2012-07-13 05:26:01-08:00,20.21893095768374,22.6,NORWEGIAN_PEARL_0230
94,29,2012-07-12,DIAMOND PRINCESS,310404000,9228198,Hubbard Glacier,Skagway,2012-07-12 06:17:03-08:00,2012-07-12 15:12:06-08:00,72.498,715.61,2012-07-15 15:42:00-08:00,16.801241534988712,19.3,DIAMOND_PRINCESS_0076
95,178,2012-07-13,ZAANDAM,246442000,9156527,Glacier Bay,Skagway,2012-07-13 07:03:04-08:00,2012-07-13 16:18:08-08:00,89.066,262.9,2012-07-17 09:22:05-08:00,11.6851150202977,18.3,ZAANDAM_0082
96,57,2012-07-13,ISLAND PRINCESS,310384000,9230402,Skagway,Hubbard Glacier,2012-07-13 08:53:24-08:00,2012-07-13 18:34:06-08:00,11.534,117.15,2012-07-14 06:06:08-08:00,10.172028985507247,12.2,ISLAND_PRINCESS_0074
97,12,2012-07-14,CORAL PRINCESS,310376000,9229659,Glacier Bay,Skagway,2012-07-14 06:02:19-08:00,2012-07-14 14:45:02-08:00,90.251,281.6,2012-07-18 09:00:07-08:00,14.011417322834644,19.2,CORAL_PRINCESS_0072
98,138,2012-07-15,VOLENDAM,245968000,9156515,Ketchikan,Skagway,2012-07-15 06:45:05-08:00,2012-07-15 15:57:04-08:00,17.283,302.09,2012-07-16 09:14:02-08:00,17.463381642512076,20.0,VOLENDAM_0086
99,109,2012-07-16,SEA PRINCESS,310465000,9150913,Haines,Juneau,2012-07-16 06:04:02-08:00,2012-07-16 15:32:00-08:00,14.284,143.11,2012-07-17 05:49:02-08:00,10.023625730994153,12.8,SEA_PRINCESS_0052
100,30,2012-07-16,DIAMOND PRINCESS,310404000,9228198,Skagway,Hubbard Glacier,2012-07-16 09:16:08-08:00,2012-07-16 19:24:04-08:00,9.451,117.52,2012-07-17 04:51:08-08:00,12.45362831858407,14.5,DIAMOND_PRINCESS_0080
101,158,2012-07-17,WESTERDAM,244128000,9226891,atSea,atSea,2012-07-17 07:01:18-08:00,2012-07-17 17:40:08-08:00,41.466,366.5,2012-07-19 06:08:03-08:00,11.038072417465388,21.6,WESTERDAM_0058
102,179,2012-07-17,ZAANDAM,246442000,9156527,Haines,Glacier Bay,2012-07-17 09:45:17-08:00,2012-07-17 19:18:08-08:00,10.584,106.65,2012-07-18 05:53:09-08:00,10.081200631911532,12.6,ZAANDAM_0084
103,197,2012-07-18,ZUIDERDAM,245304000,9221279,Ketchikan,Skagway,2012-07-18 06:27:15-08:00,2012-07-18 15:17:19-08:00,18.634,328.83,2012-07-19 09:55:21-08:00,17.376979472140764,21.5,ZUIDERDAM_0078
104,13,2012-07-18,CORAL PRINCESS,310376000,9229659,Skagway,Glacier Bay,2012-07-18 09:26:57-08:00,2012-07-18 19:27:03-08:00,9.399,117.27,2012-07-19 04:51:01-08:00,12.50302491103203,16.0,CORAL_PRINCESS_0074
105,78,2012-07-19,NORWEGIAN PEARL,309653000,9342281,Ketchikan,Skagway,2012-07-19 05:57:01-08:00,2012-07-19 14:41:02-08:00,14.817,300.98,2012-07-20 05:30:04-08:00,20.319274376417233,23.4,NORWEGIAN_PEARL_0242
106,96,2012-07-19,SAPPHIRE PRINCESS,310405000,9228186,Glacier Bay,Skagway,2012-07-19 06:29:09-08:00,2012-07-19 15:52:00-08:00,89.401,237.35,2012-07-23 09:16:05-08:00,11.434358974358975,18.8,SAPPHIRE_PRINCESS_0080
107,119,2012-07-20,STATENDAM,244078000,8919245,Glacier Bay,Skagway,2012-07-20 07:01:03-08:00,2012-07-20 16:02:06-08:00,89.583,170.86,2012-07-24 09:37:05-08:00,13.143575418994413,19.9,STATENDAM_0072
108,139,2012-07-22,VOLENDAM,245968000,9156515,Ketchikan,Skagway,2012-07-22 06:52:21-08:00,2012-07-22 16:22:07-08:00,16.916,302.72,2012-07-23 09:17:04-08:00,17.878874629812437,21.7,VOLENDAM_0094
