index,date,boatName,mmsi,imo,portAfter,portBefore,ts_in,ts_out,timeTo,distTo,first_ts_in_next_port,mean_sog,max_sog,segment_id,LOA,GT,DWT,pax,Berths,Cabins ,Crew,Breadth
199,6/19/23,SAPPHIRE PRINCESS,235103357,9228186,College Fjord,Skagway,2023-06-19 06:18:19-08:00,2023-06-19 15:05:15-08:00,26.382,459.79,2023-06-20 17:28:12-08:00,16.34332298,22.1,SAPPHIRE_PRINCESS_0088,290,115875,6750,2600,3100,,,37.5
200,6/23/23,SAPPHIRE PRINCESS,235103357,9228186,Skagway,Hubbard Glacier,2023-06-23 09:26:35-08:00,2023-06-23 19:27:28-08:00,9.753,122.42,2023-06-24 05:12:39-08:00,12.26861925,13.6,SAPPHIRE_PRINCESS_0096,290,115875,6750,2600,3100,,,37.5
201,7/3/23,SAPPHIRE PRINCESS,235103357,9228186,College Fjord,Skagway,2023-07-03 06:14:03-08:00,2023-07-03 15:08:13-08:00,26.477,460.75,2023-07-04 17:36:50-08:00,16.60434783,20.7,SAPPHIRE_PRINCESS_0112,290,115875,6750,2600,3100,,,37.5
202,7/7/23,SAPPHIRE PRINCESS,235103357,9228186,Skagway,Hubbard Glacier,2023-07-07 09:30:39-08:00,2023-07-07 19:28:10-08:00,10.647,123.18,2023-07-08 06:06:59-08:00,11.27088123,14.3,SAPPHIRE_PRINCESS_0120,290,115875,6750,2600,3100,,,37.5
203,7/17/23,SAPPHIRE PRINCESS,235103357,9228186,College Fjord,Skagway,2023-07-17 06:10:43-08:00,2023-07-17 15:08:35-08:00,26.096,460.72,2023-07-18 17:14:20-08:00,16.9510101,20.4,SAPPHIRE_PRINCESS_0136,290,115875,6750,2600,3100,,,37.5
204,7/21/23,SAPPHIRE PRINCESS,235103357,9228186,Skagway,Hubbard Glacier,2023-07-21 09:22:54-08:00,2023-07-21 19:25:55-08:00,10.756,123.26,2023-07-22 06:11:15-08:00,11.30257353,13.3,SAPPHIRE_PRINCESS_0144,290,115875,6750,2600,3100,,,37.5
205,7/31/23,SAPPHIRE PRINCESS,235103357,9228186,College Fjord,Skagway,2023-07-31 06:12:31-08:00,2023-07-31 15:13:20-08:00,25.761,460.49,2023-08-01 16:59:01-08:00,17.30358362,21.3,SAPPHIRE_PRINCESS_0160,290,115875,6750,2600,3100,,,37.5
206,8/4/23,SAPPHIRE PRINCESS,235103357,9228186,Skagway,Hubbard Glacier,2023-08-04 09:24:30-08:00,2023-08-04 19:36:39-08:00,10.534,123.99,2023-08-05 06:08:42-08:00,11.76804511,14.4,SAPPHIRE_PRINCESS_0168,290,115875,6750,2600,3100,,,37.5
207,8/14/23,SAPPHIRE PRINCESS,235103357,9228186,College Fjord,Skagway,2023-08-14 06:08:00-08:00,2023-08-14 15:06:58-08:00,26.388,463,2023-08-15 17:30:14-08:00,17.13473945,24,SAPPHIRE_PRINCESS_0184,290,115875,6750,2600,3100,,,37.5
208,8/18/23,SAPPHIRE PRINCESS,235103357,9228186,Skagway,Hubbard Glacier,2023-08-18 09:20:21-08:00,2023-08-18 19:18:35-08:00,9.841,123.5,2023-08-19 05:09:01-08:00,12.31469388,14.1,SAPPHIRE_PRINCESS_0192,290,115875,6750,2600,3100,,,37.5
209,8/28/23,SAPPHIRE PRINCESS,235103357,9228186,College Fjord,Skagway,2023-08-28 06:11:20-08:00,2023-08-28 15:20:09-08:00,26.169,460.83,2023-08-29 17:30:18-08:00,16.76805324,21.3,SAPPHIRE_PRINCESS_0208,290,115875,6750,2600,3100,,,37.5
210,9/1/23,SAPPHIRE PRINCESS,235103357,9228186,Skagway,Hubbard Glacier,2023-09-01 09:19:12-08:00,2023-09-01 19:18:57-08:00,10.792,124.19,2023-09-02 06:06:27-08:00,11.1456869,14.3,SAPPHIRE_PRINCESS_0216,290,115875,6750,2600,3100,,,37.5
211,9/15/23,SAPPHIRE PRINCESS,235103357,9228186,Skagway,Hubbard Glacier,2023-09-15 09:19:42-08:00,2023-09-15 18:39:09-08:00,12.04,209.54,2023-09-16 06:41:34-08:00,16.4063745,21.1,SAPPHIRE_PRINCESS_0240,290,115875,6750,2600,3100,,,37.5
212,9/24/23,SAPPHIRE PRINCESS,235103357,9228186,Vancouver,Skagway,2023-09-24 06:50:29-08:00,2023-09-24 15:26:20-08:00,61.974,884.98,2023-09-27 05:24:48-08:00,13.80682432,21.6,SAPPHIRE_PRINCESS_0254,290,115875,6750,2600,3100,,,37.5
213,5/10/23,ROYAL PRINCESS,310661000,9584712,Ketchikan,Skagway,2023-05-10 06:12:40-08:00,2023-05-10 14:56:03-08:00,15.671,303.08,2023-05-11 06:36:19-08:00,17.86344828,21.9,ROYAL_PRINCESS_0020,329.87,142714,12512,,,,,44
214,5/17/23,ROYAL PRINCESS,310661000,9584712,Ketchikan,Skagway,2023-05-17 06:22:31-08:00,2023-05-17 14:44:39-08:00,15.557,303.27,2023-05-18 06:18:05-08:00,17.73020134,22.9,ROYAL_PRINCESS_0032,329.87,142714,12512,,,,,44
215,5/24/23,ROYAL PRINCESS,310661000,9584712,Ketchikan,Skagway,2023-05-24 06:23:18-08:00,2023-05-24 14:59:18-08:00,15.294,303.24,2023-05-25 06:16:58-08:00,18.57203579,22.8,ROYAL_PRINCESS_0046,329.87,142714,12512,,,,,44
216,5/31/23,ROYAL PRINCESS,310661000,9584712,Ketchikan,Skagway,2023-05-31 06:22:01-08:00,2023-05-31 14:45:41-08:00,16.403,303.64,2023-06-01 07:09:51-08:00,16.8229703,21.9,ROYAL_PRINCESS_0058,329.87,142714,12512,,,,,44
217,6/7/23,ROYAL PRINCESS,310661000,9584712,Ketchikan,Skagway,2023-06-07 06:07:58-08:00,2023-06-07 14:47:52-08:00,16.125,304.47,2023-06-08 06:55:22-08:00,17.65213483,21.3,ROYAL_PRINCESS_0070,329.87,142714,12512,,,,,44
218,6/14/23,ROYAL PRINCESS,310661000,9584712,Ketchikan,Skagway,2023-06-14 06:08:21-08:00,2023-06-14 14:32:21-08:00,15.691,304.3,2023-06-15 06:13:47-08:00,17.91241685,22.5,ROYAL_PRINCESS_0082,329.87,142714,12512,,,,,44
219,6/21/23,ROYAL PRINCESS,310661000,9584712,Ketchikan,Skagway,2023-06-21 06:09:54-08:00,2023-06-21 14:36:39-08:00,15.673,301.98,2023-06-22 06:17:02-08:00,18.04810427,23,ROYAL_PRINCESS_0094,329.87,142714,12512,,,,,44
220,6/28/23,ROYAL PRINCESS,310661000,9584712,Ketchikan,Skagway,2023-06-28 06:09:51-08:00,2023-06-28 14:29:48-08:00,15.85,302.03,2023-06-29 06:20:48-08:00,17.38257919,22.4,ROYAL_PRINCESS_0106,329.87,142714,12512,,,,,44
221,7/5/23,ROYAL PRINCESS,310661000,9584712,Ketchikan,Skagway,2023-07-05 06:11:21-08:00,2023-07-05 14:39:55-08:00,15.604,302.6,2023-07-06 06:16:11-08:00,18.20131579,23.8,ROYAL_PRINCESS_0118,329.87,142714,12512,,,,,44
222,7/12/23,ROYAL PRINCESS,310661000,9584712,Ketchikan,Skagway,2023-07-12 06:08:27-08:00,2023-07-12 14:36:45-08:00,15.716,305.59,2023-07-13 06:19:42-08:00,18.03747573,22.4,ROYAL_PRINCESS_0130,329.87,142714,12512,,,,,44
223,7/19/23,ROYAL PRINCESS,310661000,9584712,Ketchikan,Skagway,2023-07-19 06:14:41-08:00,2023-07-19 14:40:05-08:00,15.601,303.72,2023-07-20 06:16:08-08:00,17.94330357,23.6,ROYAL_PRINCESS_0142,329.87,142714,12512,,,,,44
224,7/26/23,ROYAL PRINCESS,310661000,9584712,Ketchikan,Skagway,2023-07-26 06:07:49-08:00,2023-07-26 14:34:47-08:00,15.705,300.89,2023-07-27 06:17:04-08:00,17.65263158,22.9,ROYAL_PRINCESS_0154,329.87,142714,12512,,,,,44
225,8/2/23,ROYAL PRINCESS,310661000,9584712,Ketchikan,Skagway,2023-08-02 06:10:17-08:00,2023-08-02 14:45:26-08:00,15.511,302.39,2023-08-03 06:16:06-08:00,18.05638767,23.3,ROYAL_PRINCESS_0166,329.87,142714,12512,,,,,44
226,8/9/23,ROYAL PRINCESS,310661000,9584712,Ketchikan,Skagway,2023-08-09 06:05:40-08:00,2023-08-09 14:27:58-08:00,15.862,304.71,2023-08-10 06:19:41-08:00,17.51905782,22.4,ROYAL_PRINCESS_0178,329.87,142714,12512,,,,,44
227,8/16/23,ROYAL PRINCESS,310661000,9584712,Ketchikan,Skagway,2023-08-16 06:10:01-08:00,2023-08-16 14:41:01-08:00,15.639,302.18,2023-08-17 06:19:23-08:00,18.17,22.9,ROYAL_PRINCESS_0192,329.87,142714,12512,,,,,44
228,8/23/23,ROYAL PRINCESS,310661000,9584712,Ketchikan,Skagway,2023-08-23 06:04:44-08:00,2023-08-23 14:30:08-08:00,15.713,302.97,2023-08-24 06:12:55-08:00,17.89494737,23.8,ROYAL_PRINCESS_0204,329.87,142714,12512,,,,,44
229,8/30/23,ROYAL PRINCESS,310661000,9584712,Ketchikan,Skagway,2023-08-30 06:11:12-08:00,2023-08-30 14:39:39-08:00,15.663,303.45,2023-08-31 06:19:25-08:00,18.35239234,22.8,ROYAL_PRINCESS_0216,329.87,142714,12512,,,,,44
