         391699057 function calls (391585293 primitive calls) in 50.544 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3670    0.002    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/concat.py:111(<setcomp>)
    13247    0.002    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:1792(_block)
     3673    0.002    0.000    0.009    0.000 <__array_function__ internals>:177(nonzero)
     9521    0.002    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/construction.py:667(_sanitize_str_dtypes)
     1983    0.002    0.000    0.002    0.000 {built-in method pandas._libs.lib.is_datetime_array}
     1773    0.002    0.000    0.010    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/reshape/concat.py:627(_get_concat_axis)
     1773    0.002    0.000    0.030    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/series.py:1052(_get_value)
     4125    0.002    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
     4373    0.002    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:786(is_unsigned_integer_dtype)
     5612    0.002    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:624(<genexpr>)
     1788    0.002    0.000    0.006    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:849(_make_na_block)
     3546    0.002    0.000    0.049    0.000 <__array_function__ internals>:177(delete)
      195    0.002    0.000    0.002    0.000 {method 'close' of '_io.TextIOWrapper' objects}
     5678    0.002    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/base.py:45(__len__)
     5894    0.002    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/inference.py:184(is_array_like)
     1773    0.002    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/reshape/concat.py:455(<listcomp>)
     3576    0.002    0.000    0.017    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pytz/__init__.py:201(_case_insensitive_zone_lookup)
     2039    0.002    0.000    0.006    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/cast.py:1789(find_common_type)
     5319    0.002    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/base.py:162(__setattr__)
     5981    0.002    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/_config/config.py:642(_warn_if_deprecated)
     4373    0.002    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:732(is_signed_integer_dtype)
     6577    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
     1396    0.002    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/cast.py:1466(maybe_infer_to_datetimelike)
     1900    0.002    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:5071(_getitem_slice)
     1773    0.002    0.000    0.152    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/reshape/concat.py:617(_get_comb_axis)
    24031    0.002    0.000    0.002    0.000 {pandas._libs.lib.is_float}
     3546    0.002    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimelike.py:1911(maybe_infer_freq)
     7107    0.002    0.000    0.002    0.000 {pandas._libs.internals.get_blkno_placements}
     1788    0.002    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:5917(_maybe_promote)
     1773    0.002    0.000    0.008    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:767(_set_axis)
     3670    0.002    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/concat.py:106(<listcomp>)
     1773    0.002    0.000    0.016    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/datetimes.py:266(tz_convert)
     1610    0.002    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:166(_consolidate_key)
     3688    0.002    0.000    0.002    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
      127    0.002    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:1601(_interleave)
     5981    0.002    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/_config/config.py:571(_select_options)
     3546    0.002    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:540(is_string_dtype)
      193    0.002    0.000    0.002    0.000 {pandas._libs.lib.generate_slices}
     1773    0.002    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:7162(<listcomp>)
     2015    0.002    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/common.py:287(maybe_iterable_to_list)
     4796    0.002    0.000    0.002    0.000 {built-in method numpy.array}
      195    0.002    0.000    0.081    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/io/parsers/readers.py:1193(_make_engine)
     1773    0.002    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/_mixins.py:206(<setcomp>)
     1773    0.002    0.000    0.025    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:5646(_get_values_for_loc)
     9237    0.002    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/concat.py:118(<genexpr>)
     3998    0.002    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:441(_validate_dtype)
     5445    0.002    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/cast.py:454(ensure_dtype_can_hold_na)
      195    0.002    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/io/parsers/readers.py:1019(_clean_options)
     2778    0.002    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/types.py:171(__get__)
     1773    0.002    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/api.py:275(_sanitize_and_check)
     3546    0.001    0.000    0.010    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:596(copy_func)
     1773    0.001    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/base.py:57(_validate_set_axis)
     1773    0.001    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/frame.py:10992(_reindex_for_setitem)
     1773    0.001    0.000    0.010    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/frame.py:4515(_sanitize_column)
      195    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/io/parsers/base_parser.py:83(__init__)
     3546    0.001    0.000    0.006    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/dtypes.py:771(name)
     1773    0.001    0.000    0.001    0.000 {method 'reshape' of 'pandas._libs.arrays.NDArrayBacked' objects}
     1773    0.001    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexing.py:2318(convert_to_index_sliceable)
     1773    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/compat/numpy/function.py:140(validate_argsort_with_ascending)
     1773    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:925(is_datetime64_ns_dtype)
     1788    0.001    0.000    0.009    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:3823(_check_indexing_method)
     3576    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pytz/__init__.py:47(ascii)
      195    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/io/parsers/readers.py:941(_get_options_with_defaults)
     1773    0.001    0.000    0.117    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:208(<listcomp>)
     1788    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:2137(_preprocess_slice_or_indexer)
     4091    0.001    0.000    0.009    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:1665(is_consolidated)
      602    0.001    0.000    0.001    0.000 {built-in method posix.stat}
     3673    0.001    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1866(nonzero)
     3534    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/base.py:465(find)
      195    0.001    0.000    1.266    0.006 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/io/parsers/readers.py:584(read_csv)
     3771    0.001    0.000    0.086    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:1683(_consolidate_inplace)
     5319    0.001    0.000    0.001    0.000 {built-in method _simple_new}
      195    0.001    0.000    0.907    0.005 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/io/parsers/c_parser_wrapper.py:215(read)
     1773    0.001    0.000    0.166    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/reshape/concat.py:610(_get_new_axes)
     3546    0.001    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/api.py:218(conv)
     3546    0.001    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/base.py:723(tolist)
     5736    0.001    0.000    0.009    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:562(<genexpr>)
     1773    0.001    0.000    0.149    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/api.py:76(get_objs_combined_axis)
    12441    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pytz/tzinfo.py:72(__str__)
     6958    0.001    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/abc.py:117(__instancecheck__)
     3546    0.001    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/frame.py:821(shape)
     5981    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/_config/config.py:630(_translate_key)
     9276    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
     1773    0.001    0.000    0.010    0.000 {method 'delete' of 'pandas._libs.internals.BlockPlacement' objects}
      254    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/numpy/core/numerictypes.py:573(_can_coerce_all)
     3673    0.001    0.000    0.001    0.000 {method 'tolist' of 'numpy.ndarray' objects}
     8031    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:937(dtype)
     2017    0.001    0.000    0.001    0.000 {pandas._libs.lib.array_equivalent_object}
      195    0.001    0.000    0.027    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/io/common.py:601(get_handle)
     1773    0.001    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:628(<listcomp>)
     1998    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:4846(_get_engine_target)
     3546    0.001    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:1528(_is_dtype)
     1773    0.001    0.000    0.008    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/concat.py:358(<setcomp>)
     4754    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1773    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/frozen.py:67(__getitem__)
      791    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/posixpath.py:71(join)
     3576    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pytz/__init__.py:193(_unmunge_zone)
     1983    0.001    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:2603(_is_all_dates)
      195    0.001    0.000    1.157    0.006 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/io/parsers/readers.py:1245(read)
     5461    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:217(is_single_block)
 1950/975    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/groupby/groupby.py:908(__getattribute__)
     9224    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:222(items)
     3866    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
     1773    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/reshape/concat.py:661(<listcomp>)
     1788    0.001    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:459(is_interval_dtype)
     1788    0.001    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/dtypes.py:1206(is_dtype)
     1773    0.001    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:212(set_axis)
     4218    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/numpy/core/_dtype.py:330(_name_includes_bit_suffix)
     3576    0.001    0.000    0.014    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:2272(is_boolean)
      195    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/io/parsers/base_parser.py:340(_maybe_dedup_names)
     1773    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    18534    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
     1912    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:583(_dtype_to_na_value)
     1927    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:384(dtype)
     3165    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:1992(_grouping_func)
     8322    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      195    0.001    0.000    0.087    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/io/parsers/readers.py:887(__init__)
      193    0.001    0.000    0.006    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/sorting.py:618(get_group_index_sorter)
     1351    0.001    0.000    0.001    0.000 {pandas._libs.lib.infer_datetimelike_array}
      195    0.001    0.000    0.017    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/groupby/groupby.py:839(__init__)
     1998    0.001    0.000    0.015    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:2596(inferred_type)
     3741    0.001    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/frame.py:1413(__len__)
     4963    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
     3546    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimelike.py:280(asi8)
     5691    0.001    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/concat.py:112(<genexpr>)
     1773    0.001    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/api.py:102(<listcomp>)
    15039    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/base.py:326(ndim)
     5678    0.001    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/series.py:743(__len__)
     7092    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:660(ndim)
     3673    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:1832(<listcomp>)
     3546    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:7164(<genexpr>)
     1773    0.001    0.000    0.011    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:599(<listcomp>)
     3546    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/extension.py:67(fget)
      614    0.001    0.000    0.007    0.000 {built-in method builtins.sorted}
      225    0.001    0.000    0.008    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/series.py:4435(_reduce)
    13590    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_iterator}
     1927    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:375(needs_filling)
      195    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/urllib/parse.py:437(urlsplit)
     3546    0.001    0.000    0.010    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimelike.py:833(isna)
     3546    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:5549(<genexpr>)
     9312    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/frame.py:578(_constructor)
     9531    0.001    0.000    0.001    0.000 {pandas._libs.algos.ensure_object}
      195    0.001    0.000    0.018    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/frame.py:7601(groupby)
      195    0.001    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/io/common.py:251(_get_filepath_or_buffer)
      193    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/range.py:112(__new__)
     4218    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/numpy/core/_dtype.py:24(_kind_name)
     1788    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:3579(_maybe_update_cacher)
     5612    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:542(<genexpr>)
     3546    0.001    0.000    0.014    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/api.py:264(<genexpr>)
      210    0.001    0.000    0.008    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:10395(_logical_func)
     2583    0.001    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/re.py:250(compile)
      596    0.001    0.000    0.012    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pytz/__init__.py:78(open_resource)
     7346    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:1719(<genexpr>)
     1912    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:671(_is_uniform_reindex)
      193    0.001    0.000    0.074    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:2074(_consolidate)
      480    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/numpy/core/_ufunc_config.py:32(seterr)
     3088    0.001    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/io/parsers/c_parser_wrapper.py:360(<setcomp>)
    11313    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_bool}
     5319    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/reshape/concat.py:664(<genexpr>)
     1773    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:7163(<listcomp>)
     2015    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/missing.py:911(clean_reindex_fill_method)
     6971    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/numpy/core/multiarray.py:1071(copyto)
      227    0.001    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:4719(reindex)
      196    0.001    0.000    0.001    0.000 {built-in method builtins.locals}
     7092    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimes.py:2401(validate_tz_from_dtype)
     1773    0.001    0.000    0.001    0.000 {method 'index' of 'range' objects}
     4373    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:540(_ensure_array)
     1773    0.001    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/base.py:545(empty)
     3546    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:569(condition)
     1773    0.001    0.000    0.005    0.000 {method 'min' of 'numpy.ndarray' objects}
      390    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/io/parsers/readers.py:486(validate_integer)
     1773    0.001    0.000    0.014    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:1118(value_getitem)
     1773    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/concat.py:356(<listcomp>)
     1773    0.001    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/api.py:223(<listcomp>)
     7092    0.001    0.000    0.001    0.000 {built-in method builtins.id}
     4356    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:2624(_is_multi)
      193    0.001    0.000    0.068    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:3609(take)
     3561    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:3948(_check_setitem_copy)
     1788    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/base.py:358(size)
     7414    0.001    0.000    0.001    0.000 {pandas._libs.lib.item_from_zerodim}
      480    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/numpy/core/_ufunc_config.py:131(geterr)
     2413    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/numpy/core/numerictypes.py:582(<listcomp>)
     1091    0.001    0.000    0.010    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/codecs.py:319(decode)
     1773    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/frame.py:3883(_ensure_valid_index)
     3220    0.001    0.000    0.006    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:2079(<lambda>)
     1627    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/numpy/core/_asarray.py:109(<setcomp>)
      195    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/groupby/grouper.py:468(__init__)
      390    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/io/common.py:1109(_is_binary_mode)
      193    0.001    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/algorithms.py:1667(safe_sort)
     6976    0.001    0.000    0.001    0.000 {method 'upper' of 'str' objects}
     5319    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/common.py:191(<genexpr>)
     7882    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3866    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:1124(_maybe_disallow_fill)
      547    0.001    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:5632(_protect_consolidate)
      210    0.001    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:845(_engine)
