         391699057 function calls (391585293 primitive calls) in 50.544 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3866    0.010    0.000    0.483    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:875(take)
     7414    0.010    0.000   48.271    0.007 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/util/_decorators.py:302(wrapper)
     7414    0.010    0.000    0.114    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/frame.py:3411(_ixs)
    21255    0.009    0.000    0.014    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
    58010    0.009    0.000    0.013    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:884(__len__)
    14843    0.009    0.000    0.014    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:5023(__getitem__)
     1091    0.009    0.000    0.009    0.000 {built-in method _codecs.utf_8_decode}
    29752    0.009    0.000    0.016    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:1429(is_extension_array_dtype)
    14184    0.009    0.000    0.013    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/dtypes.py:768(__str__)
    61337    0.009    0.000    0.010    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:354(dtype)
    10608    0.009    0.000    0.022    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/dtypes.py:781(__eq__)
   146750    0.009    0.000    0.009    0.000 {built-in method builtins.issubclass}
     7414    0.009    0.000    0.049    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/frame.py:3906(_box_col_values)
    97440    0.009    0.000    0.009    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimes.py:545(dtype)
    67671    0.009    0.000    0.013    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:147(<lambda>)
