,bs_ts,mmsi,callsign,imo,name,nav_status,lat,lon,cog,sog,destination,eta,shiptype,draught,length,width
93,2023-09-24 05:32:34,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.28518833,-135.38169333,184.3,11.7,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
94,2023-09-24 05:35:25,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.27598667,-135.38284333,182.0,11.7,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
95,2023-09-24 05:36:15,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.273265,-135.382915,180.0,11.8,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
96,2023-09-24 05:37:26,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.26939,-135.38276833,178.0,11.8,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
97,2023-09-24 05:38:26,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.26611833,-135.382415,175.9,11.8,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
98,2023-09-24 05:39:26,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.26283833,-135.38181167,173.7,11.9,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
99,2023-09-24 05:40:15,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.26012167,-135.38109667,171.4,11.9,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
100,2023-09-24 05:40:45,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.25854667,-135.38055,169.4,11.9,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
101,2023-09-24 05:41:15,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.25687833,-135.37983833,167.0,11.9,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
102,2023-09-24 05:41:45,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.25533167,-135.379055,164.8,11.9,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
103,2023-09-24 05:42:45,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.25218167,-135.37720833,162.7,11.9,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
104,2023-09-24 05:47:45,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.236365,-135.36755,162.6,11.9,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
105,2023-09-24 05:52:54,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.22005,-135.35774333,163.3,12.0,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
106,2023-09-24 05:57:54,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.20396167,-135.34850667,164.0,12.2,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
107,2023-09-24 06:02:05,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.190285,-135.34059167,161.4,12.4,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
108,2023-09-24 06:03:05,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.18705167,-135.33831333,159.1,12.4,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
109,2023-09-24 06:04:55,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.18122167,-135.333635,157.0,12.4,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
110,2023-09-24 06:09:56,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.16536833,-135.32047167,157.0,12.4,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
111,2023-09-24 06:15:04,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.14930833,-135.30693167,156.0,12.2,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
112,2023-09-24 06:19:25,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.13611667,-135.29548,156.3,11.7,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
113,2023-09-24 06:24:34,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.12099167,-135.28279,156.9,11.4,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
114,2023-09-24 06:29:35,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.10626333,-135.27063833,157.1,11.5,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
115,2023-09-24 06:34:44,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.09105,-135.25802,157.7,11.6,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
116,2023-09-24 06:35:54,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.08756667,-135.25539667,159.8,11.6,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
117,2023-09-24 06:36:55,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.08452833,-135.25337167,162.0,11.6,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
118,2023-09-24 06:37:55,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.08145333,-135.25156333,164.1,11.6,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
119,2023-09-24 06:39:34,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.07628667,-135.248925,166.2,11.6,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
120,2023-09-24 06:44:15,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.06154333,-135.24234167,168.2,11.8,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
121,2023-09-24 06:49:16,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.04552667,-135.23563333,166.4,11.8,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
122,2023-09-24 06:54:25,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.029155,-135.22775167,165.9,11.9,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
123,2023-09-24 06:59:35,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.01254167,-135.21950167,165.8,12.1,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
124,2023-09-24 07:04:35,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.99635667,-135.21144833,165.4,12.0,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
125,2023-09-24 07:09:35,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.98030167,-135.203645,165.7,11.9,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
126,2023-09-24 07:11:24,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.974545,-135.20097667,167.9,11.8,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
127,2023-09-24 07:12:14,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.97181,-135.19995667,170.1,11.8,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
128,2023-09-24 07:12:56,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.9696,-135.19931667,172.4,11.8,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
129,2023-09-24 07:13:36,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.96744333,-135.19887,174.8,11.8,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
130,2023-09-24 07:14:14,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.96532167,-135.19860333,177.2,11.8,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
131,2023-09-24 07:14:56,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.96308667,-135.19850333,179.4,11.8,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
132,2023-09-24 07:20:06,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.94618,-135.19852333,180.2,11.8,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
