bs_ts,name,mmsi,destination,heading,lat,lon,cog,sog,nav_status,imo,callsign,Type of ship
2008-08-19T19:29:59,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.69401833,-147.0842267,164.0,17.0,0,9230402,ZCDG4,16
2008-08-19T19:29:52,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.6949,-147.084765,163.6,17.0,0,9230402,ZCDG4,16
2008-08-19T19:29:52,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.6949,-147.084765,163.6,17.0,0,9230402,ZCDG4,16
2008-08-19T19:29:47,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.695435,-147.0850883,163.6,17.0,0,9230402,ZCDG4,16
2008-08-19T19:29:47,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.695435,-147.0850883,163.6,17.0,0,9230402,ZCDG4,16
2008-08-19T19:29:37,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.69587,-147.0853533,164.0,16.9,0,9230402,ZCDG4,16
2008-08-19T19:29:37,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.69587,-147.0853533,164.0,16.9,0,9230402,ZCDG4,16
2008-08-19T19:29:32,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.696315,-147.0856233,164.0,16.9,0,9230402,ZCDG4,16
2008-08-19T19:29:30,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.696315,-147.0856233,164.0,16.9,0,9230402,ZCDG4,16
2008-08-19T19:29:25,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.69682833,-147.0859333,163.6,17.0,0,9230402,ZCDG4,16
2008-08-19T19:29:23,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.69682833,-147.0859333,163.6,17.0,0,9230402,ZCDG4,16
2008-08-19T19:29:22,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.69721333,-147.0861683,163.6,16.9,0,9230402,ZCDG4,16
2008-08-19T19:29:17,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.69721333,-147.0861683,163.6,16.9,0,9230402,ZCDG4,16
