bs_ts,name,mmsi,destination,heading,lat,lon,cog,sog,nav_status,imo,callsign,Type of ship
2008-09-20T07:07:05,ISLAND PRINCESS,310384000,KETCHIKAN,174,56.60140667,-134.4455067,173.6,18.4,0,9230402.0,ZCDG4,16.0
2008-09-20T07:06:52,ISLAND PRINCESS,310384000,KETCHIKAN,174,56.60241,-134.445725,173.3,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:06:41,ISLAND PRINCESS,310384000,KETCHIKAN,174,56.60343,-134.4459417,173.3,18.4,0,9230402.0,ZCDG4,16.0
2008-09-20T07:06:29,ISLAND PRINCESS,310384000,KETCHIKAN,174,56.60436333,-134.4461417,173.3,18.4,0,9230402.0,ZCDG4,16.0
2008-09-20T07:06:23,ISLAND PRINCESS,310384000,KETCHIKAN,174,56.60486167,-134.4462583,173.3,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:06:16,ISLAND PRINCESS,310384000,KETCHIKAN,174,56.60544667,-134.4463917,172.0,18.4,0,9230402.0,ZCDG4,16.0
2008-09-20T07:06:11,ISLAND PRINCESS,310384000,KETCHIKAN,174,56.60594833,-134.4465083,173.3,18.4,0,9230402.0,ZCDG4,16.0
2008-09-20T07:05:41,ISLAND PRINCESS,310384000,KETCHIKAN,173,56.60847,-134.44711,172.0,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:05:35,ISLAND PRINCESS,310384000,KETCHIKAN,173,56.60897167,-134.4472433,172.0,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:04:52,ISLAND PRINCESS,310384000,KETCHIKAN,173,56.61248667,-134.44808,172.3,18.2,0,9230402.0,ZCDG4,16.0
2008-09-20T07:04:23,ISLAND PRINCESS,310384000,KETCHIKAN,173,56.614905,-134.448665,172.3,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:04:16,ISLAND PRINCESS,310384000,KETCHIKAN,173,56.61549,-134.448815,172.3,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:04:11,ISLAND PRINCESS,310384000,KETCHIKAN,173,56.61609667,-134.44895,172.3,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:04:05,ISLAND PRINCESS,310384000,KETCHIKAN,173,56.61649833,-134.44905,172.3,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:03:52,ISLAND PRINCESS,310384000,KETCHIKAN,174,56.61750167,-134.4492817,173.3,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:03:41,ISLAND PRINCESS,310384000,KETCHIKAN,174,56.61852167,-134.4495167,173.3,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:03:28,ISLAND PRINCESS,310384000,KETCHIKAN,174,56.619525,-134.4497333,173.3,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:03:23,ISLAND PRINCESS,310384000,KETCHIKAN,174,56.61994333,-134.4498333,173.6,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:03:16,ISLAND PRINCESS,310384000,KETCHIKAN,174,56.62053,-134.4499683,173.3,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:03:11,ISLAND PRINCESS,310384000,KETCHIKAN,174,56.62104667,-134.4500683,173.6,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:03:06,ISLAND PRINCESS,310384000,KETCHIKAN,174,56.62146167,-134.4501667,173.3,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:02:53,ISLAND PRINCESS,310384000,KETCHIKAN,173,56.62246833,-134.450385,172.6,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:02:40,ISLAND PRINCESS,310384000,KETCHIKAN,173,56.62356833,-134.450635,172.6,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:02:16,ISLAND PRINCESS,310384000,KETCHIKAN,173,56.62557667,-134.4511033,172.6,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:02:04,ISLAND PRINCESS,310384000,KETCHIKAN,173,56.62658167,-134.4513367,172.3,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:01:53,ISLAND PRINCESS,310384000,KETCHIKAN,173,56.62759833,-134.4515717,172.3,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:01:40,ISLAND PRINCESS,310384000,KETCHIKAN,173,56.62859833,-134.45182,172.3,18.3,0,9230402.0,ZCDG4,16.0
2008-09-20T07:01:36,ISLAND PRINCESS,310384000,KETCHIKAN,172,56.62902,-134.4519217,171.6,18.3,0,9230402.0,ZCDG4,16.0
