bs_ts,mmsi,lat,lon,nav_status,cog,sog,heading,imo,callsign,name,Type of ship,destination
2008-08-22T01:28:45,310404000,58.161865,-136.790685,0,283.9,18.0,282,9228198,ZCDF8,DIAMOND PRINCESS,16,GLACIER BAY
2008-08-22T01:28:39,310404000,58.16174667,-136.7897617,0,284.2,18.1,282,9228198,ZCDF8,DIAMOND PRINCESS,16,GLACIER BAY
2008-08-22T01:28:33,310404000,58.16163167,-136.7888383,0,284.2,18.1,282,9228198,ZCDF8,DIAMOND PRINCESS,16,GLACIER BAY
2008-08-22T01:28:33,310404000,58.16150333,-136.78791,0,283.8,18.1,282,9228198,ZCDF8,DIAMOND PRINCESS,16,GLACIER BAY
2008-08-22T01:28:21,310404000,58.16138833,-136.78699,0,285.1,18.1,282,9228198,ZCDF8,DIAMOND PRINCESS,16,GLACIER BAY
2008-08-22T01:28:16,310404000,58.16126333,-136.7860783,0,284.2,18.2,282,9228198,ZCDF8,DIAMOND PRINCESS,16,GLACIER BAY
2008-08-22T01:28:09,310404000,58.16114,-136.7851483,0,283.2,18.1,282,9228198,ZCDF8,DIAMOND PRINCESS,16,GLACIER BAY
2008-08-22T01:28:04,310404000,58.16100333,-136.7840683,0,283.2,18.0,282,9228198,ZCDF8,DIAMOND PRINCESS,16,GLACIER BAY
2008-08-22T01:27:58,310404000,58.16088,-136.7831583,0,283.8,18.2,282,9228198,ZCDF8,DIAMOND PRINCESS,16,GLACIER BAY
2008-08-22T01:27:58,310404000,58.16076,-136.7822417,0,283.8,18.1,282,9228198,ZCDF8,DIAMOND PRINCESS,16,GLACIER BAY
2008-08-22T01:27:47,310404000,58.16063667,-136.7813017,0,284.8,18.2,282,9228198,ZCDF8,DIAMOND PRINCESS,16,GLACIER BAY
2008-08-22T01:27:41,310404000,58.16051333,-136.780385,0,284.5,18.2,282,9228198,ZCDF8,DIAMOND PRINCESS,16,GLACIER BAY
2008-08-22T01:27:33,310404000,58.16038333,-136.7794567,0,283.8,18.2,282,9228198,ZCDF8,DIAMOND PRINCESS,16,GLACIER BAY
2008-08-22T01:27:28,310404000,58.16026167,-136.7785367,0,284.2,18.2,282,9228198,ZCDF8,DIAMOND PRINCESS,16,GLACIER BAY
2008-08-22T01:27:22,310404000,58.16013833,-136.777605,0,284.8,18.2,282,9228198,ZCDF8,DIAMOND PRINCESS,16,GLACIER BAY
2008-08-22T01:27:15,310404000,58.160035,-136.7768283,0,283.5,18.2,282,9228198,ZCDF8,DIAMOND PRINCESS,16,GLACIER BAY
2008-08-22T01:27:09,310404000,58.15989333,-136.7757467,0,285.1,18.3,282,9228198,ZCDF8,DIAMOND PRINCESS,16,GLACIER BAY
2008-08-22T01:27:03,310404000,58.159765,-136.77482,0,283.3,18.2,283,9228198,ZCDF8,DIAMOND PRINCESS,16,GLACIER BAY
2008-08-22T01:26:57,310404000,58.15965167,-136.7739,0,284.8,18.3,283,9228198,ZCDF8,DIAMOND PRINCESS,16,GLACIER BAY
2008-08-22T01:26:51,310404000,58.15952333,-136.7729733,0,284.8,18.3,283,9228198,ZCDF8,DIAMOND PRINCESS,16,GLACIER BAY
