bs_ts,name,destination,lat,lon,heading,cog,sog,nav_status,imo,callsign,mmsi,Type of ship
2008-09-13T20:52:05,MILLENNIUM,HUBBARD GLACIER,59.60985,-139.9246833,48,46.7,9.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:52:03,MILLENNIUM,HUBBARD GLACIER,59.60976667,-139.9249,49,48.1,9.3,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:51:59,MILLENNIUM,HUBBARD GLACIER,59.60968333,-139.9250667,50,47.5,9.3,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:51:56,MILLENNIUM,HUBBARD GLACIER,59.60961667,-139.9252,51,49.1,9.3,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:51:53,MILLENNIUM,HUBBARD GLACIER,59.6095,-139.9255333,52,50.7,9.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:51:49,MILLENNIUM,HUBBARD GLACIER,59.60943333,-139.9256833,53,52.1,9.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:51:45,MILLENNIUM,HUBBARD GLACIER,59.60931667,-139.9259167,55,53.1,9.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:51:42,MILLENNIUM,HUBBARD GLACIER,59.60921667,-139.9261667,56,53.5,9.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:51:39,MILLENNIUM,HUBBARD GLACIER,59.60915,-139.9264,57,54.8,9.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:51:36,MILLENNIUM,HUBBARD GLACIER,59.60906667,-139.9265667,58,55.8,9.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:51:32,MILLENNIUM,HUBBARD GLACIER,59.60896667,-139.9269167,59,59.1,9.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:51:30,MILLENNIUM,HUBBARD GLACIER,59.60891667,-139.9270833,61,58.5,9.3,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:51:25,MILLENNIUM,HUBBARD GLACIER,59.6088,-139.9274167,62,59.9,9.3,0,9189419.0,9HJF9,249055000,16.0
