bs_ts,mmsi,name,destination,lat,lon,heading,cog,sog,nav_status,imo,callsign,Type of ship
2008-09-17T10:40:53,311109000,NORWEGIAN SUN,JUNEAU,57.53083333,-133.72525,2,1.6,18.0,0,9218131,C6RN3,16
2008-09-17T10:40:23,311109000,NORWEGIAN SUN,JUNEAU,57.52826667,-133.72545,5,4.6,18.0,0,9218131,C6RN3,16
2008-09-17T10:39:59,311109000,NORWEGIAN SUN,JUNEAU,57.52636667,-133.72575,7,6.6,18.0,0,9218131,C6RN3,16
2008-09-17T10:39:41,311109000,NORWEGIAN SUN,JUNEAU,57.52476667,-133.7261333,8,7.7,18.1,0,9218131,C6RN3,16
2008-09-17T10:39:23,311109000,NORWEGIAN SUN,JUNEAU,57.52328333,-133.7265167,10,9.3,18.1,0,9218131,C6RN3,16
2008-09-17T10:39:10,311109000,NORWEGIAN SUN,JUNEAU,57.52228333,-133.7268333,11,10.0,18.1,0,9218131,C6RN3,16
2008-09-17T10:38:54,311109000,NORWEGIAN SUN,JUNEAU,57.52091667,-133.7273167,13,12.3,18.1,0,9218131,C6RN3,16
2008-09-17T10:38:48,311109000,NORWEGIAN SUN,JUNEAU,57.52031667,-133.7275667,14,13.6,18.1,0,9218131,C6RN3,16
2008-09-17T10:36:34,311109000,NORWEGIAN SUN,JUNEAU,57.50976667,-133.7337167,20,18.7,18.2,0,9218131,C6RN3,16
2008-09-17T10:34:58,311109000,NORWEGIAN SUN,JUNEAU,57.50205,-133.7386167,20,19.3,18.3,0,9218131,C6RN3,16
2008-09-17T10:13:16,311109000,NORWEGIAN SUN,JUNEAU,57.39746667,-133.8030667,16,14.1,18.1,0,9218131,C6RN3,16
2008-09-17T10:10:15,311109000,NORWEGIAN SUN,JUNEAU,57.37928333,-133.81175,16,14.0,17.9,0,9218131,C6RN3,16
2008-09-17T10:08:47,311109000,NORWEGIAN SUN,JUNEAU,57.37581667,-133.81325,16,14.4,18.0,0,9218131,C6RN3,16
2008-09-17T10:07:35,311109000,NORWEGIAN SUN,JUNEAU,57.36993333,-133.8162667,19,17.1,18.3,0,9218131,C6RN3,16
2008-09-17T10:07:11,311109000,NORWEGIAN SUN,JUNEAU,57.3681,-133.8173333,19,18.3,18.5,0,9218131,C6RN3,16
2008-09-17T10:06:53,311109000,NORWEGIAN SUN,JUNEAU,57.36655,-133.8183333,20,19.3,18.7,0,9218131,C6RN3,16
2008-09-17T10:06:35,311109000,NORWEGIAN SUN,JUNEAU,57.3652,-133.8193,22,22.3,18.8,0,9218131,C6RN3,16
2008-09-17T10:06:16,311109000,NORWEGIAN SUN,JUNEAU,57.36365,-133.82055,24,25.8,18.9,0,9218131,C6RN3,16
2008-09-17T10:05:53,311109000,NORWEGIAN SUN,JUNEAU,57.36178333,-133.8223167,27,29.1,19.0,0,9218131,C6RN3,16
2008-09-17T10:05:28,311109000,NORWEGIAN SUN,JUNEAU,57.35995,-133.8243,30,32.1,19.0,0,9218131,C6RN3,16
2008-09-17T10:05:05,311109000,NORWEGIAN SUN,JUNEAU,57.35826667,-133.8263167,33,34.1,19.1,0,9218131,C6RN3,16
2008-09-17T10:04:35,311109000,NORWEGIAN SUN,JUNEAU,57.35605,-133.8292833,36,37.1,19.1,0,9218131,C6RN3,16
2008-09-17T10:04:28,311109000,NORWEGIAN SUN,JUNEAU,57.35563333,-133.8298833,37,37.2,19.1,0,9218131,C6RN3,16
2008-09-17T09:48:57,311109000,NORWEGIAN SUN,JUNEAU,57.27638333,-133.9518333,41,41.0,17.7,0,9218131,C6RN3,16
2008-09-17T09:44:47,311109000,NORWEGIAN SUN,JUNEAU,57.2738,-133.9560333,42,42.3,17.8,0,9218131,C6RN3,16
2008-09-17T09:43:05,311109000,NORWEGIAN SUN,JUNEAU,57.2727,-133.9578667,42,42.9,17.9,0,9218131,C6RN3,16
2008-09-17T09:42:29,311109000,NORWEGIAN SUN,JUNEAU,57.2708,-133.9609333,40,39.6,18.2,0,9218131,C6RN3,16
2008-09-17T09:42:11,311109000,NORWEGIAN SUN,JUNEAU,57.26965,-133.9627167,38,38.0,18.3,0,9218131,C6RN3,16
2008-09-17T09:22:10,311109000,NORWEGIAN SUN,JUNEAU,57.18573333,-134.0722333,34,34.6,18.4,0,9218131,C6RN3,16
2008-09-17T09:20:23,311109000,NORWEGIAN SUN,JUNEAU,57.17816667,-134.0822,37,36.6,18.7,0,9218131,C6RN3,16
2008-09-17T09:18:41,311109000,NORWEGIAN SUN,JUNEAU,57.17103333,-134.0916,35,34.6,18.7,0,9218131,C6RN3,16
2008-09-17T09:17:59,311109000,NORWEGIAN SUN,JUNEAU,57.16811667,-134.0953167,37,36.3,18.7,0,9218131,C6RN3,16
2008-09-17T09:17:28,311109000,NORWEGIAN SUN,JUNEAU,57.16593333,-134.0982333,36,34.7,18.7,0,9218131,C6RN3,16
2008-09-17T09:01:28,311109000,NORWEGIAN SUN,JUNEAU,57.098,-134.1797167,34,32.1,18.3,0,9218131,C6RN3,16
2008-09-17T08:58:23,311109000,NORWEGIAN SUN,JUNEAU,57.08463333,-134.1946833,35,31.2,18.2,0,9218131,C6RN3,16
2008-09-17T08:56:53,311109000,NORWEGIAN SUN,JUNEAU,57.07806667,-134.2018333,33,30.2,18.5,0,9218131,C6RN3,16
2008-09-17T08:54:41,311109000,NORWEGIAN SUN,JUNEAU,57.06845,-134.2127333,34,32.1,18.6,0,9218131,C6RN3,16
2008-09-17T08:51:35,311109000,NORWEGIAN SUN,JUNEAU,57.05516667,-134.2281833,34,32.7,18.2,0,9218131,C6RN3,16
2008-09-17T10:23:53,311109000,NORWEGIAN SUN,JUNEAU,57.44871667,-133.7724,20,19.3,18.4,0,9218131,C6RN3,16
2008-09-17T10:20:48,311109000,NORWEGIAN SUN,JUNEAU,57.43375,-133.7817167,20,18.4,18.4,0,9218131,C6RN3,16
2008-09-17T10:19:14,311109000,NORWEGIAN SUN,JUNEAU,57.41716667,-133.79195,19,17.4,18.3,0,9218131,C6RN3,16
2008-09-17T10:15:47,311109000,NORWEGIAN SUN,JUNEAU,57.40961667,-133.7966167,20,17.7,18.2,0,9218131,C6RN3,16
2008-09-17T10:15:16,311109000,NORWEGIAN SUN,JUNEAU,57.40711667,-133.7981333,20,18.4,18.2,0,9218131,C6RN3,16
2008-09-17T10:14:35,311109000,NORWEGIAN SUN,JUNEAU,57.40381667,-133.7999667,18,15.4,18.2,0,9218131,C6RN3,16
2008-09-17T10:02:35,311109000,NORWEGIAN SUN,JUNEAU,57.34801667,-133.84185,41,41.0,18.8,0,9218131,C6RN3,16
2008-09-17T09:59:34,311109000,NORWEGIAN SUN,JUNEAU,57.33628333,-133.8605667,41,40.6,18.5,0,9218131,C6RN3,16
2008-09-17T09:58:46,311109000,NORWEGIAN SUN,JUNEAU,57.33316667,-133.8655167,42,41.6,18.5,0,9218131,C6RN3,16
2008-09-17T09:35:48,311109000,NORWEGIAN SUN,JUNEAU,57.24161667,-133.9994667,35,35.3,18.1,0,9218131,C6RN3,16
2008-09-17T09:32:29,311109000,NORWEGIAN SUN,JUNEAU,57.22926667,-134.0152833,35,35.0,18.4,0,9218131,C6RN3,16
2008-09-17T09:29:22,311109000,NORWEGIAN SUN,JUNEAU,57.2161,-134.0323667,35,34.6,18.7,0,9218131,C6RN3,16
2008-09-17T09:26:29,311109000,NORWEGIAN SUN,JUNEAU,57.20385,-134.0484,36,36.3,18.8,0,9218131,C6RN3,16
2008-09-17T09:25:34,311109000,NORWEGIAN SUN,JUNEAU,57.20006667,-134.0534333,35,35.0,18.7,0,9218131,C6RN3,16
2008-09-17T09:09:02,311109000,NORWEGIAN SUN,JUNEAU,57.1273333,-134.146,511,360.0,102.3,15,9218131,C6RN3,16
2008-09-17T09:08:35,311109000,NORWEGIAN SUN,JUNEAU,57.12826667,-134.1444333,34,32.4,18.3,0,9218131,C6RN3,16
2008-09-17T09:07:46,311109000,NORWEGIAN SUN,JUNEAU,57.1248,-134.1485,35,33.4,18.3,0,9218131,C6RN3,16
2008-09-17T09:06:35,311109000,NORWEGIAN SUN,JUNEAU,57.11985,-134.1544333,34,32.1,18.2,0,9218131,C6RN3,16
2008-09-17T09:03:28,311109000,NORWEGIAN SUN,JUNEAU,57.10661667,-134.1698333,34,32.1,18.3,0,9218131,C6RN3,16
2008-09-17T08:48:41,311109000,NORWEGIAN SUN,JUNEAU,57.04283333,-134.2430167,34,34.0,18.2,0,9218131,C6RN3,16
2008-09-17T08:45:35,311109000,NORWEGIAN SUN,JUNEAU,57.02996667,-134.2590167,34,34.0,18.1,0,9218131,C6RN3,16
2008-09-17T08:44:17,311109000,NORWEGIAN SUN,JUNEAU,57.02458333,-134.26575,34,34.6,18.0,0,9218131,C6RN3,16
2008-09-17T08:42:11,311109000,NORWEGIAN SUN,JUNEAU,57.01601667,-134.2767333,34,34.6,18.0,0,9218131,C6RN3,16
2008-09-17T08:40:53,311109000,NORWEGIAN SUN,JUNEAU,57.0107,-134.2835833,34,36.2,18.0,0,9218131,C6RN3,16
2008-09-17T08:24:16,311109000,NORWEGIAN SUN,JUNEAU,56.94545,-134.37195,34,34.6,17.4,0,9218131,C6RN3,16
2008-09-17T08:21:22,311109000,NORWEGIAN SUN,JUNEAU,56.93398333,-134.38685,34,35.9,17.6,0,9218131,C6RN3,16
2008-09-17T08:19:05,311109000,NORWEGIAN SUN,JUNEAU,56.92478333,-134.3987833,34,34.6,18.0,0,9218131,C6RN3,16
2008-09-17T08:15:28,311109000,NORWEGIAN SUN,JUNEAU,56.9096,-134.41795,34,34.0,18.9,0,9218131,C6RN3,16
2008-09-17T08:13:34,311109000,NORWEGIAN SUN,JUNEAU,56.90123333,-134.42825,33,33.9,18.9,0,9218131,C6RN3,16
2008-09-17T08:01:23,311109000,NORWEGIAN SUN,JUNEAU,56.84528333,-134.4826667,10,10.6,18.9,0,9218131,C6RN3,16
2008-09-17T07:59:23,311109000,NORWEGIAN SUN,JUNEAU,56.83496667,-134.48615,10,10.3,19.0,0,9218131,C6RN3,16
2008-09-17T07:58:17,311109000,NORWEGIAN SUN,JUNEAU,56.82925,-134.48805,10,10.0,19.0,0,9218131,C6RN3,16
2008-09-17T07:57:37,311109000,NORWEGIAN SUN,JUNEAU,56.82591667,-134.4891333,10,10.6,19.0,0,9218131,C6RN3,16
2008-09-17T07:57:13,311109000,NORWEGIAN SUN,JUNEAU,56.82375,-134.4897833,9,8.0,19.0,0,9218131,C6RN3,16
2008-09-17T07:56:46,311109000,NORWEGIAN SUN,JUNEAU,56.82155,-134.4903167,6,6.6,18.9,0,9218131,C6RN3,16
2008-09-17T07:56:24,311109000,NORWEGIAN SUN,JUNEAU,56.81958333,-134.4906667,4,4.9,18.9,0,9218131,C6RN3,16
2008-09-17T07:54:55,311109000,NORWEGIAN SUN,JUNEAU,56.81171667,-134.4911333,1,1.6,18.9,0,9218131,C6RN3,16
2008-09-17T07:54:00,311109000,NORWEGIAN SUN,JUNEAU,56.80708333,-134.4912333,0,0.3,18.9,0,9218131,C6RN3,16
2008-09-17T07:42:49,311109000,NORWEGIAN SUN,JUNEAU,56.7489,-134.4920833,358,357.3,18.6,0,9218131,C6RN3,16
2008-09-17T07:41:31,311109000,NORWEGIAN SUN,JUNEAU,56.7422,-134.4910833,355,354.0,18.5,0,9218131,C6RN3,16
2008-09-17T07:38:19,311109000,NORWEGIAN SUN,JUNEAU,56.72593333,-134.48845,355,355.0,18.0,0,9218131,C6RN3,16
