bs_ts,name,destination,lat,lon,heading,cog,sog,nav_status,imo,callsign,mmsi,Type of ship
2008-08-15T10:30:02,MILLENNIUM,SEWARD,60.02791667,-149.3788167,343,343.3,15.7,0,9189419,9HJF9,249055000,16
2008-08-15T10:29:02,MILLENNIUM,SEWARD,60.0238,-149.3764333,343,344.0,15.7,0,9189419,9HJF9,249055000,16
2008-08-15T10:26:02,MILLENNIUM,SEWARD,60.01161667,-149.36945,343,343.7,14.6,0,9189419,9HJF9,249055000,16
2008-08-15T10:22:31,MILLENNIUM,SEWARD,59.99843333,-149.3626,350,350.8,13.5,0,9189419,9HJF9,249055000,16
2008-08-15T10:21:34,MILLENNIUM,SEWARD,59.99495,-149.3618667,357,357.4,13.2,0,9189419,9HJF9,249055000,16
2008-08-15T10:19:50,MILLENNIUM,SEWARD,59.98891667,-149.3623167,7,7.4,12.1,0,9189419,9HJF9,249055000,16
2008-08-15T10:19:10,MILLENNIUM,SEWARD,59.98675,-149.3630833,11,11.4,11.5,0,9189419,9HJF9,249055000,16
2008-08-15T10:10:31,MILLENNIUM,SEWARD,59.9682,-149.3776333,23,23.0,8.2,0,9189419,9HJF9,249055000,16
2008-08-15T10:09:31,MILLENNIUM,SEWARD,59.96591667,-149.3794667,20,20.5,9.6,0,9189419,9HJF9,249055000,16
2008-08-15T10:09:07,MILLENNIUM,SEWARD,59.9649,-149.3802333,20,19.4,10.3,0,9189419,9HJF9,249055000,16
2008-08-15T10:07:54,MILLENNIUM,SEWARD,59.96128333,-149.3828667,20,19.5,12.9,0,9189419,9HJF9,249055000,16
2008-08-15T10:07:19,MILLENNIUM,SEWARD,59.95916667,-149.3843667,20,19.5,14.2,0,9189419,9HJF9,249055000,16
2008-08-15T10:07:07,MILLENNIUM,SEWARD,59.9584,-149.3849167,20,19.6,14.7,0,9189419,9HJF9,249055000,16
2008-08-15T10:05:48,MILLENNIUM,SEWARD,59.95306667,-149.38875,21,20.6,16.3,0,9189419,9HJF9,249055000,16
2008-08-15T10:05:43,MILLENNIUM,SEWARD,59.95263333,-149.3890667,21,20.6,16.3,0,9189419,9HJF9,249055000,16
2008-08-15T10:05:31,MILLENNIUM,SEWARD,59.95178333,-149.3896667,21,19.9,16.4,0,9189419,9HJF9,249055000,16
2008-08-15T10:03:37,MILLENNIUM,SEWARD,59.94358333,-149.3955167,20,19.3,16.6,0,9189419,9HJF9,249055000,16
2008-08-15T10:03:31,MILLENNIUM,SEWARD,59.94315,-149.39585,20,20.0,16.6,0,9189419,9HJF9,249055000,16
2008-08-15T10:03:13,MILLENNIUM,SEWARD,59.94186667,-149.3967667,21,19.6,16.5,0,9189419,9HJF9,249055000,16
2008-08-15T10:02:55,MILLENNIUM,SEWARD,59.94056667,-149.3977,21,20.6,16.5,0,9189419,9HJF9,249055000,16
2008-08-15T10:02:43,MILLENNIUM,SEWARD,59.9398,-149.3982667,20,18.9,16.5,0,9189419,9HJF9,249055000,16
2008-08-15T10:02:34,MILLENNIUM,SEWARD,59.93808333,-149.3994833,0,0.0,0.0,0,9189419,9HJF9,249055000,16
2008-08-15T10:02:19,MILLENNIUM,SEWARD,59.93808333,-149.3994833,21,20.3,16.4,0,9189419,9HJF9,249055000,16
2008-08-15T10:01:55,MILLENNIUM,SEWARD,59.93628333,-149.4008,20,19.3,16.4,0,9189419,9HJF9,249055000,16
2008-08-15T10:01:43,MILLENNIUM,SEWARD,59.9355,-149.40135,20,18.9,16.4,0,9189419,9HJF9,249055000,16
2008-08-15T10:01:31,MILLENNIUM,SEWARD,59.93456667,-149.4020167,21,20.3,16.4,0,9189419,9HJF9,249055000,16
2008-08-15T10:01:18,MILLENNIUM,SEWARD,59.93371667,-149.4026667,20,19.6,16.4,0,9189419,9HJF9,249055000,16
2008-08-15T10:00:55,MILLENNIUM,SEWARD,59.93208333,-149.40385,21,20.6,16.3,0,9189419,9HJF9,249055000,16
2008-08-15T10:00:43,MILLENNIUM,SEWARD,59.93123333,-149.40445,21,21.3,16.3,0,9189419,9HJF9,249055000,16
2008-08-15T10:00:37,MILLENNIUM,SEWARD,59.9308,-149.4047833,21,21.3,16.3,0,9189419,9HJF9,249055000,16
2008-08-15T09:59:55,MILLENNIUM,SEWARD,59.92785,-149.407,21,21.7,16.1,0,9189419,9HJF9,249055000,16
2008-08-15T09:59:43,MILLENNIUM,SEWARD,59.92701667,-149.4076667,20,21.0,16.2,0,9189419,9HJF9,249055000,16
2008-08-15T09:58:43,MILLENNIUM,SEWARD,59.92288333,-149.4108667,21,22.8,15.8,0,9189419,9HJF9,249055000,16
2008-08-15T09:57:55,MILLENNIUM,SEWARD,59.9197,-149.4135667,23,24.1,15.4,0,9189419,9HJF9,249055000,16
2008-08-15T09:57:13,MILLENNIUM,SEWARD,59.91703333,-149.4161,25,26.1,15.1,0,9189419,9HJF9,249055000,16
2008-08-15T09:57:07,MILLENNIUM,SEWARD,59.91665,-149.4164667,25,25.3,15.0,0,9189419,9HJF9,249055000,16
2008-08-15T09:57:01,MILLENNIUM,SEWARD,59.91626667,-149.4168333,26,27.5,15.0,0,9189419,9HJF9,249055000,16
2008-08-15T09:56:38,MILLENNIUM,SEWARD,59.91443333,-149.4187,0,0.0,0.0,0,9189419,9HJF9,249055000,16
2008-08-15T09:56:31,MILLENNIUM,SEWARD,59.91443333,-149.4187,25,25.7,14.7,0,9189419,9HJF9,249055000,16
