name,mmsi,bs_ts,lat,lon,nav_status,cog,sog,heading,imo,callsign,destination
CORAL PRINCESS,310376000,2008-08-20T20:31:31,55.34422667,-131.65889,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T20:28:28,55.344225,-131.6588867,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T20:25:26,55.344225,-131.6588867,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T20:22:26,55.34422333,-131.658885,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T20:16:24,55.34422333,-131.658895,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T20:13:20,55.34422167,-131.6588917,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T20:07:19,55.34422,-131.658895,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T20:01:17,55.34422167,-131.6589017,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T19:55:14,55.34421667,-131.6588983,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T19:52:13,55.34421667,-131.658895,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T19:46:11,55.34421,-131.658895,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T19:43:09,55.34421167,-131.6588933,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T19:40:07,55.34421333,-131.658895,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T19:37:05,55.344215,-131.6589,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T19:31:03,55.34421167,-131.6588883,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T19:28:03,55.34421333,-131.6588833,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T19:25:02,55.34421667,-131.658885,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T19:19:00,55.34421667,-131.658885,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T19:12:55,55.34422,-131.65888,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T19:06:55,55.34421833,-131.65888,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T19:00:51,55.34421667,-131.658885,5,282.0,0.0,282,9229659,ZCDF4,JUNEAU
